Disadvantaged,Applicant,Project #,Description/Needs Category,Service Area Population,IUP Amount Requested,Loan Amount,Additional Subsidization Amount
D,La Plata,DWLSL-243-23,LSLI,"1,266","$                     240,000",$                                -,"$                    240,000"
,Pike PWSD 1,DWLSL-244-23,"LSLI, LSLRP","6,655","$                     400,000","$                       297,500","$                    102,500"
D,Atlanta,DWLSL-245-23,LSLI,385,"$                     150,000",$                                -,"$                    150,000"
D,Marceline,DWLSL-246-23,LSLI,"2,012","$                     250,000",$                                -,"$                    250,000"
D,Windsor,DWLSL-247-23,LSLI,"2,805","$                     190,000",$                                -,"$                    190,000"
D,Andrew PWSD 2,DWLSL-248-23,LSLI,"3,548","$                     240,000",$                                -,"$                    240,000"
,Kearney,DWLSL-249-23,LSLI,"10,404","$                       26,000","$                          15,340","$                       10,660"
D,Carterville,DWLSL-250-23,LSLI,"1,855","$                     260,605",$                                -,"$                    260,605"
D,Fredericktown,DWLSL-251-23,LSLI,"4,274","$                     250,000",$                                -,"$                    250,000"
,Trenton,DWLSL-252-23,"LSLI, LSLR","5,600","$                       88,000","$                          51,920","$                       36,080"
D,Hermann,DWLSL-253-23,LSLI,"2,185","$                     422,142",$                                -,"$                    422,142"
D,Stoddard PWSD 4,DWLSL-254-23,LSLI,"1,700","$                     300,000",$                                -,"$                    300,000"
D,Qulin,DWLSL-255-23,"LSLI, LSLRP",946,"$                     126,875",$                                -,"$                    126,875"
D,Elmo,DWLSL-256-23,LSLI,165,"100,000$",$                                -,"$                    100,000"
D,Burlington Junction,DWLSL-257-23,LSLI,500,"$                     250,000",$                                -,"$                    250,000"
D,Gideon,DWLSL-258-23,"LSLI, LSLRP",692,"$                     202,930",$                                -,"$                    202,930"
D,Everton,DWLSL-259-23,LSLI,325,"125,000$",$                                -,"125,000$"
D,Holland,DWLSL-260-23,LSLI,229,"$                     250,000",$                                -,"$                    250,000"
D,Wayne PWSD 3,DWLSL-261-23,LSLI,400,"100,000$",$                                -,"$                    100,000"
D,Silex,DWLSL-262-23,LSLI,90,"$                       44,500",$                                -,"44,500$"
