Project.Number,County,System.Name,Borrower,Description,Pop,Project.Cost,Score,Cumulative.Total
19742,Orange,GREENWOOD LAKE (V),Greenwood Lake (V),"Greenwood Lake (V) Water System Improvements - Phase II, Upgrade Water Treatment Plant, Upgrade Storage",3000,5017950,60,505277951
19211,Wayne,WOLCOTT (V),Wolcott (V),"Village of Wolcott WTP Upgrades, Upgrade Water Treatment Plant",2465,8400000,60,513677951
18299,Madison,DERUYTER (V),DeRuyter (V),"Water Systems Improvements - Storage, WTP, and Watermain upgrades, Upgrade Water Treatment Plant, Upgrade Storage, Upgrade Distribution System",643,3646335,60,517324286
18579,Lewis,TOWN OF DIANA WATER DISTRICT,Diana (T),"Upgrade Wells 1 and 3, Distribution Looping and New Water Meters, Upgrade Ground Water Source, Upgrade Distribution System",618,6180000,60,523504286
19149,Chemung,WELLSBURG (V),Wellsburg (V),"Tank decommissioning & replacements, distribution upgrades, new emergency ground supply, New Ground Water Source, Upgrade Storage, Upgrade Distribution System",580,6536623,60,530040909
18890,Chemung,MILLPORT (V),Millport (V),"New Well and Upgrade Tank, Meters, and Telemetry, New Other Expenses, Upgrade Ground Water Source, Upgrade Storage",292,1604100,60,531645009
18932,Oswego,COUNTY RT. 57/ HUNTLEY RD WATER DISTRICT,Schroeppel (T),"County Route 57 / Huntley Road Water District, New Distribution System",253,4903800,60,536548809
19773,Cayuga,MONTEZUMA WD 2,Montezuma (T),"Expansion of water system, creation of Town's service area no. 2, Extend Distribution System",250,9143282,60,545692091
19548,Wyoming,TOWN OF PERRY WD NO. 2,Perry (T),"New WD No. 2, Upgrade Distribution System",215,6360734,60,552052825
19645,Dutchess,SCHREIBER WATER WORKS,DCWWA,"New well and treatment for removal of gross alpha, radium, iron/manganese, and sulfate, New Water Treatment Plant, New Ground Water Source",80,4653540,60,556706365
19777,Monroe,BROCKPORT (V),Brockport (V),"Replacement of Distribution and Transmission WM, Controls and Appurtenances, Upgrade Distribution System",7300,10266010,55,566972375
18822,Dutchess,WAPPINGERS FALLS (V),Wappingers Falls (V),"New Greensand WTP for Mn Removal, New Water Treatment Plant, Upgrade Ground Water Source, Upgrade Storage",6731,3042840,55,570015215
19046,Delaware,DELHI (V),Delhi (V),"Distribution, Storage, & Pump Station Upgrades, Upgrade Storage, Upgrade Pump Station, Upgrade Distribution System",3833,6500000,55,576515215
19232,Wayne,CLYDE (V),Clyde (V),"New vertical turbine pumps, new well houses, treatment improvements, emergency backup power, Upgrade Water Treatment Plant, Upgrade Ground Water Source",2269,2544000,55,579059215
19133,Cayuga,WEEDSPORT (V),Weedsport (V),"Water Systems Improvements, Upgrade Storage, Upgrade Distribution System",1945,22008000,55,601067215
19515,Oswego,OSWEGO (C),Oswego (C),"Ellen St. and Gardiner Hill HSZ Interconnect, and rehab Gardiner Hill Tank, Upgrade Storage, Upgrade Distribution System",1700,11200000,55,612267215
19556,Montgomery,ST JOHNSVILLE (V),St. Johnsville (V),"Disinfection Upgrades, Tank Rehab, Monroe St. Main Replacement, Upgrade Storage, Upgrade Distribution System",1643,2278880,55,614546095
18814,Otsego,EDMESTON (T),Edmeston (T),"Treatment and Distribution System Improvements, Upgrade Water Treatment Plant, Upgrade Distribution System",900,9647000,55,624193095
19766,Sullivan,LIVINGSTON WD,Rockland (T),"Distribution and Storage Improvements, Upgrade Storage, Upgrade Distribution System",850,8365746,55,632558841
19574,Steuben,PRATTSBURGH WD,Prattsburgh (T),"Water distribution system improvements, Upgrade Other Expenses, Upgrade Storage, Upgrade Distribution System, Upgrade Other (OT)",594,7107000,55,639665841
19243,Steuben,COHOCTON (T),Cohocton (T),"Tank rehab, distribution upgrades and looping, well house improvements, Upgrade Ground Water Source, Upgrade Storage, Upgrade Distribution System",485,3759150,55,643424991
19847,Delaware,TREADWELL WATER DISTRICT,Treadwell,"Treadwell Water District Improvements Project, Upgrade Water Treatment Plant, New Ground Water Source, Upgrade Storage",140,1500000,55,644924991
18979,Schenectady,SCHENECTADY (C),Schenectady (C),"Phase 1 Rice Road Source and WTP Improvements, Upgrade Water Treatment Plant, New Ground Water Source",60000,7775470,50,652700461
19519,Yates,PENN YAN (V),Penn Yan (V),"Upgrades to WTP to improve water quality and system reliability, Upgrade Water Treatment Plant, Upgrade Storage",8159,5610000,50,658310461
19527,Jefferson,BLACK RIVER (V),Black River (V),"Distribution, Maple St. Well, & New Source Improvements, New Ground Water Source, Upgrade Distribution System",4170,18200000,50,676510461
19805,Saratoga,SOUTH GLENS FALLS (V),South Glens Falls (V),"Replacement of aged water main along Ferry Boulevard, Upgrade Distribution System",3744,1000000,50,677510461
19834,Chautauqua,WESTFIELD (V),Westfield (V),"Westfield (V) Distribution System Improvements, New Distribution System",2683,8795400,50,686305861
18526,Sullivan,JEFFERSONVILLE (V),Jeffersonville (V),"Construct new water storage tank, new pump/treatment building, and two new wells, New Ground Water Source, New Storage, Upgrade Distribution System",400,5314353,50,691620214
19273,Schenectady,SCHENECTADY (C),Schenectady (C),"Phase 2 Rice Road WTP Improvements, Upgrade Water Treatment Plant",60000,8221460,45,699841674
18909,Cortland,CORTLAND (C),Cortland (C),"Homer Ave Reconstruction & Water Main Replacement Project, Upgrade Distribution System",21859,11661120,45,711502794
19278,Fulton,GLOVERSVILLE (C) WATER WORKS,Gloversville (C),"New Transmission Main and upgrades to the distribution system, New Transmission, Upgrade Distribution System",15300,5309551,45,716812345
19826,Ontario,GENEVA (C),Geneva (C),"Filtration upgrade at water treatment plant, Upgrade Water Treatment Plant",14500,14667200,45,731479545
19540,Orleans,MEDINA (V),Medina (V),"Phase I Upgrade on WM, Booster Pump, SCADA and Storage, Upgrade Distribution System",6050,12025250,45,743504795
19432,Steuben,BATH (V),Bath (V),"Replacement of Mt. Washington tank and Maple Heights tank, Upgrade Storage, Upgrade Distribution System",5500,8500000,45,752004795
18927,Jefferson,ADAMS (V),Adams (V),"Water main and water meter replacement, Upgrade Distribution System",3300,6162490,45,758167285
19882,Saratoga,CORINTH (V),Corinth (V),"WTP Upgrades, WM Replacement, Upgrade Water Treatment Plant, Upgrade Distribution System",3000,14996000,45,773163285
19528,Jefferson,PAMELIA CONSOLIDATED WD NO. 1,Pamelia (T),"Water Main Replacement and Chlorine Booster Station, Upgrade Other Expenses, Upgrade Distribution System, Upgrade Other (OT)",2350,8786000,45,781949285
19542,Jefferson,DEXTER (V),Dexter (V),"Route 180 Water Line Replacement, Upgrade Distribution System",1004,3071975,45,785021260
19505,Delaware,MARGARETVILLE (V),Margaretville (V),"Hospital Tank replacement, meters, control system upgrades, Upgrade Storage, Upgrade Distribution System",514,1508801,45,786530061
19764,Sullivan,ROSCOE-ROCKLAND WD,Rockland (T),"New wells, treatment, and main replacement, New Water Treatment Plant, New Ground Water Source, Upgrade Distribution System",500,8300000,45,794830061
19514,St. Lawrence,TOWN OF EDWARDS WD NO.1,Edwards (T),"Well No.2 Improvements, Upgrade Surface Water Source",465,800000,45,795630061
18972,Suffolk,RIVERHEAD WD,Riverhead (T),"WD Extension Nos. 95 & 96 - Calverton. Extend Public Water to Address PFAS in Private Residential Wells., Extend Distribution System, Extend Water District",190,12178000,45,807808061
19546,Livingston,GENESEO (T),Geneseo (T),"Legacy WM Replacement - Crossett Rd., NYS Rts 63, 39 and 20A, Upgrade Distribution System",108,3708000,45,811516061
19127,Albany,ALBANY (C),Albany MWFA,"Basic Creek Reservoir Dam Safety Improvements, Upgrade Surface Water Source",101082,8605000,40,820121061
