Rank,Points,Project Title,Project Number,"Beneficiary
Population",PWSID,Applicant / System Name,County,"Leg.
District","Cong.
District",W/S,PFA,"Public /
Private","System
Size",Disadvantaged,PFAS/EC,LSL,"Construction
Start","Construction
End",Design Date,Milestone / Project Type,Project Description,Total Cost ($),Green Cost ($),"MDE Requested
Funding ($)"
32,70,CHESAPEAKE HEIGHTS DISTRIBUTION REPLACEMENT PROJECT,DW0049,705,MD0040018,EMILY MATTHEWS / BOARD AND COMMISSIONERS OF CALVERT COUNTY,Calvert,27C,5,Y,2,PUBLIC,Large,N,N,N,04/01/2026,07/31/2027,03/01/2021,"Construction, Design, Transmission/Distribution","PROBLEM: System experiences multiple main line breaks and leaks in 2"" galvanized pipe; system susceptible to contamination/backflow. PROJECT: Construct replacement of 27,000 LF w/4""Ð8"" C-900 in two phases: Ph 1 = East Side, Ph 2 = West Side.","$6,178,533",,"$6,000,000"
33,70,ANNAPOLIS ROAD TRANSMISSION WATER MAIN REPLACEMENT PHASE II,DW0001,3840,MD0150005,CAVILLE STANBURY-WOOLERY / WASHINGTON SUBURBAN SANITARY COMMISSION,Prince George's,4,REG,Y,Y,PUBLIC,Large,N,N,N,09/01/2026,09/30/2028,11/01/2021,"Construction, Design, Transmission/Distribution","PROBLEM: Aging water main infrastructure; frequent breaks, low flow, & corroded pipes is a public health concern; emergency response. PROJECT: Construct replacement of approx. 2 miles of 4""Ð24"" water mains.","$12,082,086",,"$12,082,086"
34,70,EASTON UTILITIES WATER TREATMENT PLANT,DW0085,52500,MD0200003,REBECCA SADUKE / EASTON UTILITIES COMMISSION,Talbot,1,37B,Y,Y,PUBLIC,Large,Y,N,N,06/01/2026,06/30/2027,04/01/2021,"Construction, Design, Treatment (GREEN-General)",PROBLEM: 30+ year old WTP risks critical failure & lacks capacity. PROJECT: P/D/C - Replacement of Glebe WTP with climate-resilient plant with redundancy; upgrading wells & sand filters.,"$12,752,000","$12,025,000","$12,025,000"
35,69,PFAS TREATMENT AT WINTERS RUN WATER TREATMENT PLANT,DW0038,15500,MD0120003,LAURA RUNKLE / MARYLAND AMERICAN WATER COMPANY,Harford,REG,1,Y,Y,PRIVATE,Large,N,Y,N,10/01/2026,12/31/2027,07/01/2025,"Construction, Design, Treatment",PROBLEM: Concentration of certain PFAS/PFOA chemicals exceed EPA's maximum contaminant levels in two wells. PROJECT: P/D/C - Construct GAC adsorption filters for PFAS/PFOA for compliance with EPA standards.,"$15,100,000",,"$15,100,000"
36,65,TOWN OF GRANTSVILLE WATER SYSTEM IMPROVEMENTS,DW0066,1000,MD0110005,ROBIN JONES / TOWN OF GRANTSVILLE,Garrett,6,01A,Y,Y,PUBLIC,Small,Y,N,N,11/01/2026,11/30/2027,05/01/2025,"Construction, Design, Source",PROBLEM: Water supply insufficient to meet demand and estimated future needs; aging Grantsville water system is failing. PROJECT: P/D/C - Consolidate aging Grantsville WTP and Green WTP into a single WTP at Green site; demolish Grantsville plant.,"$13,924,000",,"$2,089,000"
37,65,LEAD SERVICE LINE INVENTORY - TOWN OF PERRYVILLE,DW0055,6838,MD0070018,GEORGE PATCHELL / TOWN OF PERRYVILLE,Cecil,35B,1,Y,Y,PUBLIC,Small,Y,N,Y,11/01/2025,12/31/2026,03/01/2025,"Construction, Design, Transmission/Distribution","PROBLEM: Lead service line inventory needed for the remaining 629 service lines of unknown material. PROJECT: D/C - Uncover, inspect, identify and report the material for 629 3/4"" lines averaging 75 LF each.","$1,662,000",,"$1,640,000"
38,65,WC-1199 ASHBURTON PUMPING STATION REHABILITATION,DW0044,1800000,MD0300002,KHALIL ZAIED / MAYOR AND CITY COUNCIL OF BALTIMORE,Baltimore City,41,7,Y,Y,PUBLIC,Large,Y,N,N,09/01/2025,09/30/2029,07/01/2014,"Construction, Design, Transmission/Distribution, Compliance",PROBLEM: Continued reliable operation of aging pumping station in support of finished water storage. PROJECT: Construct rehab of pumping station to support WC-1211 under administrative order.,"$86,972,516",,"$27,422,000"
39,65,WC-1199 ASHBURTON PUMPING STATION REHABILITATION,DW0100,1800000,MD0300002,ROBERT BURROS / BALTIMORE COUNTY,Baltimore County,41,7,Y,Y,PUBLIC,Large,Y,N,N,09/01/2025,09/30/2029,07/01/2014,"Construction, Design, Transmission/Distribution, Compliance",PROBLEM: Continued reliable operation of aging pumping station in support of finished water storage. PROJECT: Construct rehab of pumping station to support WC-1211 under administrative order. (Baltimore County co-applicant; cost carried by Baltimore City DW0044.),0,,"$39,137,632"
40,60,GORMAN WATER SOURCE PROJECT,DW0063,368,MD0110012,ANDREW TICHINEL / GARRETT COUNTY SANITARY DISTRICT,Garrett,6,01A,Y,2,PUBLIC,Small,Y,N,N,02/01/2026,06/30/2026,03/01/2025,"Construction, Design, Source","PROBLEM: One of the two wells in Gorman community collapsed in 2021, causing insufficient water supply. PROJECT: D/C - Install three test wells and develop up to two of them with goal to achieve 100 GPM.","$1,574,286",,"$1,360,000"
41,60,BEAUFORT PLACE WATER MAIN REPLACEMENT,DW0060,570,MDMD01500,CAVILLE STANBURY-WOOLERY / WASHINGTON SUBURBAN SANITARY COMMISSION,Montgomery,14,8,Y,2,PUBLIC,Large,Y,N,N,09/01/2026,01/31/2028,12/01/2021,"Construction, Design, Transmission/Distribution","PROBLEM: Aging water mains subject to increasing breaks & leaks; constricted flow due to iron pipes. PROJECT: Construct replacement of approx. 2.52 miles of 4""Ð20"" water main; needed and in accordance with asset management planning.","$8,422,850",,"$8,422,850"
