"IUP Part",Project Entity,Project ID,"PPLrank","PPL points","System Population Served",Project Description,"Binding Commitment Date","EC Amount","Total Project Costs",Equivalency,
Part B-1,Calumet,1310004-07,729,10,341,Watermain - Buckmaster Rd to 7th/8th,,,"198,770",Tbd,
Part B-1,Calumet,1310004-08,730,10,341,Watermain - 9th Ave & Morgan St,,,"143,204",Tbd,
Part B-1,Brooten,1730005-07,731,10,550,Watermain - Replace & Loop,,,"2,559,000",Tbd,
Part B-1,Brooten,1730005-08,732,10,550,Storage - Tower Rehab,,,"947,000",Tbd,
Part B-1,Bellingham,1370001-02,739,10,168,Storage - Replace Tower,,,"1,500,000",Tbd,
Part B-1,Bellingham,1370001-03,740,10,168,Watermain - Repl CIP,,,"1,500,000",Tbd,
Part B-1,Bellingham,1370001-04,741,10,168,Conservation - Install Meters,,,"500,000",Tbd,
Part B-1,Cyrus,1610001-04,742,10,318,Watermain - Phase 1 Replacment,,,"665,970",Tbd,
Part B-1,Campbell,1840003-01,750,10,159,Source - New Well & Seal Well No. 1,,,"424,100",Tbd,
Part B-1,Hibbing,1690022-15,753,10,"16,167",Watermain - 23rd St. Replacement,,,"1,105,000",Tbd,
Part B-1,Hibbing,1690022-16,754,10,"16,167",Watermain - 2nd Ave E Replacement,,,"2,184,000",Tbd,
Part B-1,Hibbing,1690022-17,755,10,"16,167",Watermain - Town Line Sliplining,,,"4,680,000",Tbd,
Part B-1,Hibbing,1690022-23,758,10,"16,167",Watermain - 17th St. Replacement,,,"1,000,000",Tbd,
Part B-1,Ortonville,1060008-10,760,10,"2,021",Watermain - Dixon St. Replacement,,,"841,000",Tbd,
Part B-1,Ortonville,1060008-09,773,10,"2,081",Watermain - Phase 4,,,"8,520,000",Tbd,
Part B-1,Royalton,1490006-10,784,10,"1,179",Storage - Tower Rehab,,,"650,000",Tbd,
Part B-1,Clara City,1120001-05,785,10,"1,402",Watermain -  Distribution Improvements,,,"10,672,204",Tbd,
Part B-1,Saint Cloud,1730027-19,796,10,"54,937",Watermain - 22nd St. S-CR 136 to Cooper,,,"1,997,000",Tbd,
Part B-1,Royalton,1490006-09,804,10,"1,172",Watermain - Improvements & Looping,,,"1,340,600",Tbd,
Part B-1,Chisholm,1690007-07,806,10,"4,940",Watermain - Heritage Manor Area,,,"232,011",Tbd,
Part B-1,Welcome,1460011-04,814,10,653,Treatment - TP Rehab,,,"8,500,000",Tbd,
Part B-1,Hibbing,1690022-24,818,10,"16,028",Watermain - 23rd St. Replace Phase II,,,"618,000",Tbd,
Part B-1,Hibbing,1690022-26,820,10,"16,028","Watermain - 30"" Rehabilitation",,,"2,768,400",Tbd,
Part B-1,Hibbing,1690022-27,821,10,"16,028",Watermain - Hydrant & Valve Replacement,,,"1,050,000",Tbd,
Part B-1,Beardsley,1060002-03,828,10,195,Storage - Tower Interior Recoat,,,"224,100",Tbd,
Part B-1,Beardsley,1060002-06,829,10,195,Conservation - Install Meters,,,"139,400",Tbd,
Part B-1,Cromwell,1090007-09,836,10,250,Conservation - Meters,,,"82,200",Tbd,
Part B-1,Long Prairie,1770007-04,846,10,"3,727",Storage - Tower Rehab,,,"976,375",Tbd,
Part B-1,Long Prairie,1770007-05,847,10,"3,727",Treatment - TP Rehab,,,"2,092,500",Tbd,
Part B-1,Starbuck,1610008-04,848,10,"1,269",Storage - Tank Rehab,,,"92,400",Tbd,
Part B-1,Starbuck,1610008-06,849,10,"1,269",Treatment - TP Rehab,,,"384,057",Tbd,
Part B-1,Emmons,1240007-02,855,10,384,Treatment - TP Rehab,,,"1,114,000",Tbd,
Part B-1,Emmons,1240007-03,856,10,384,Storage - New Tower,,,"2,000,000",Tbd,
Part B-1,Greenbush,1680002-13,862,10,680,Watermain - Replace Various Areas,,,"3,310,000",Tbd,
Part B-1,Wells,1220010-06,867,10,"2,343",Watermain - TH22/TH109,,,"1,900,000",Tbd,
Part B-1,Walnut Grove,1640014-02,870,10,825,Watermain - 8th St. N Replacement,,,"220,369",Tbd,
Part B-1,Saint Paul RWS,1620026-22z,872,10,"385,796",Treatment - Process Imp.(McCarrons),,,"260,000,000",Tbd,
Part B-1,Bird Island,1650001-05,874,10,960,Treatment - Filter Media Replacement,,,"145,000",Tbd,
Part B-1,Comfrey,1080001-10,882,10,297,Watermain - CSAH 17 Replacement,,,"380,933",Tbd,
Part B-1,Underwood,1560026-07,883,10,420,Storage - Tower Rehab,,,"520,000",Tbd,
Part B-1,Moorhead,1140008-14,887,10,"43,409",Watermain - Distribution Phase 3,,,"2,975,625",Tbd,
Part B-1,Moorhead,1140008-20,889,10,"43,409",Storage - Reservoirs Improvement,,,"1,466,250",Tbd,
Part B-1,Moorhead,1140008-23,890,10,"43,409",Source - Transmission Pipeline Repl,,,"14,950,000",Tbd,
Part B-1,Howard Lake,1860010-10,892,10,"1,897",Watermain - Replacement,,,"2,875,500",Tbd,
Part B-1,Howard Lake,1860010-09,893,10,"1,897",Storage - Replace Tower No. 1,,,"2,700,000",Tbd,
Part B-1,Lincoln-Pipestone RWS,1410007-05,896,10,"13,644",Treatment - Holland WTP biotta addition,,,"8,511,000",Tbd,
Part B-1,Duluth,1690011-25,907,10,"86,772",Other - System Wide Corrosion & Painting,,,"4,020,000",Tbd,
Part B-1,Duluth,1690011-26,908,10,"86,772",Treatment - TP Rehab,,,"15,883,000",Tbd,
Part B-1,Pipestone,1590005-14,919,10,"4,171",Watermain - Repl 2nd Ave SW,,,"687,500",Tbd,
Part B-1,Pelican Rapids,1560019-10,920,10,"2,577",Watermain - Replace Various Areas,,,"23,000,000",Tbd,
Part B-1,Duluth,1690011-27,921,10,"86,859",Storage - Woodland Reservoirs,,,"3,850,000",Tbd,
Part B-1,Duluth,1690011-28,922,10,"86,859",Storage - Middle Reservoirs,,,"8,100,000",Tbd,
Part B-1,Duluth,1690011-29,923,10,"86,859",Storage - Reservoir Upgrades,,,"8,100,000",Tbd,
Part B-1,Coleraine,1310006-07,930,10,"1,997",Watermain - Roosevelt & Congdon Repl,,,"4,200,000",Tbd,
Part B-1,Fulda,1510005-05,935,10,"1,318",Watermain - Phase 1A,,,"10,618,000",Tbd,
Part B-1,Le Sueur,1400010-12,940,10,"4,210",Watermain - 4th St Improvements,,,"3,700,000",Tbd,
Part B-1,Hancock,1750004-01,946,10,845,Treatment - TP Rehab,,,"1,419,300",Tbd,
Part B-1,Hancock,1750004-02,947,10,845,Storage - Tower Rehab,,,"414,600",Tbd,
Part B-1,Hoyt Lakes,1690028-02,950,10,"2,095",Other - Connect to ERWB,,,"18,640,000",Tbd,
Part B-1,Silver Bay,1380003-12,951,10,"1,826",Watermain - 2026 Citywide,,,"12,756,000",Tbd,
Part B-1,Silver Bay,1380003-15,954,10,"1,826",Watermain - PRV Replacements,,,"1,932,000",Tbd,
Part B-1,Bird Island,1650001-10,955,10,"1,024",Watermain - Phase 2 Replacement,,,"4,395,500",Tbd,
Part B-1,Bird Island,1650001-09,958,10,"1,024",Watermain - Phase 1 Replacement,,,"415,900",Tbd,
Part B-1,Montrose,1860016-06,959,10,"3,505","Storage - Repl Tower w/100,000 Gal Tower",,,"4,650,000",Tbd,
Part B-1,Proctor,1690042-05,964,10,"3,113",Watermain - Repl 2nd St. to Westgate Blv,,,"1,953,000",Tbd,
Part B-1,Hollandale,1240013-03,977,10,338,Storage - Tower Rehab,,,"802,000",Tbd,
Part B-1,Hollandale,1240013-04,978,10,338,Watermain - Replacement,,,"8,172,000",Tbd,
Part B-1,Robbinsdale,1270046-06,982,10,"14,646",Storage - New Tower,,,"9,790,000",Tbd,
Part B-1,Lowry,1610007-06,996,8,345,Source - New Wells,,,"550,000",Tbd,
Part B-1,Good Thunder,1070005-01,998,8,474,Source - New Well,,,"735,000",Tbd,
Part B-1,Campbell,1840003-02,"1,011",7,159,"Storage - New 40,000 Gal GSR w/chem feed",,,"2,300,000",Tbd,
Part B-1,Campbell,1840003-03,"1,012",7,159,Watermain - Looping in Various Areas,,,"4,790,600",Tbd,
Part B-1,Jackson,1320003-05,"1,018",7,"3,208",Watermain - River Crossing,,,"523,000",Tbd,
Part B-1,Lowry,1610007-07,"1,028",7,345,Treatment - Plant Improvements,,,"200,000",Tbd,
