"",,,MPFA,,,
RANK SYSTEM,,PROJECT,PROJECT ID,POINTS,POPULATION,PROJECT COST
174 Lamberton,,Other - LSL Phase 4,1640003-20,20,828,"$93,750"
"",,,MPFA,,,
RANK SYSTEM,,PROJECT,PROJECT ID,POINTS,POPULATION,PROJECT COST
175 Bellechester,,Other - LSL Replacement,1250006-01,20,169,"$262,500"
176 Walnut Grove,,Other - LSL Replacement,1640014-03,20,825,"$130,000"
177 Saint Paul Regional Water Services,,Other - LSL Replacement Phase 3,1620026-25,20,"305,877","$29,000,000"
178 Sauk Rapids,,Other - LSL Repl Along 2nd Ave. South,1050004-06,20,"13,830","$544,186"
179 Sauk Rapids,,Treatment - PFAS TP Upgrade & New Wells,1050004-07,20,"13,830","$6,182,000"
180 Starbuck,,Other - LSL Replacement,1610008-07,20,"1,440","$700,000"
181 Spring Grove,,Other - LSL Replacement,1280010-02,20,"1,291","$37,500"
182 Hokah,,Other - LSL Replacement,1280004-07,20,555,"$250,000"
183 Badger,,Other - LSL Replacement,1680001-07,20,425,"$533,750"
184 Nashwauk,,Other - LSL Replacement,1310024-06,20,"1,144","$544,000"
185 Tracy,,Other - LSL Phase 1,1420010-05,20,"2,154","$75,000"
186 Tracy,,Other - LSL Phase 2,1420010-06,20,"2,154","$131,250"
187 New Ulm,,Other - LSL Replacement,1080003-05,20,"14,052","$8,525,000"
188 Saint Cloud,,Other - LSL 2026 Emergency,1730027-33,20,"71,321","$937,500"
189 Saint Cloud,,Other - LSL Lake George Phase 1,1730027-34,20,"71,321","$2,756,250"
190 Saint Cloud,,Other - LSL Pan Park Phases 5 & 6,1730027-35,20,"71,321","$487,500"
191 Moorhead,,Other - LSL Replacement Phase 2,1140008-12,20,"43,409","$575,000"
192 Moorhead,,Other - LSL Replacement Phase 3,1140008-15,20,"43,409","$790,625"
193 Moorhead,,Other - LSL Replacement Phase 4,1140008-18,20,"43,409","$675,000"
194 Moorhead,,Other - LSL Replacement No Watermain,1140008-21,20,"43,409","$937,500"
195 Moorhead,,Other - LSL Replacement Phase 1,1140008-09,20,"43,409","$1,365,000"
196 Upsala,,Other - LSL Replacement,1490008-06,20,482,"$70,000"
197 Karlstad,,Other - LSL Replacement,1350002-03,20,713,"$720,000"
198 Howard Lake,,Other - LSL Replacement,1860010-11,20,"1,897","$121,500"
199 Howard Lake,,Treatment - Manganese Treatment Plant,1860010-08,20,"1,897","$11,610,000"
200 Pipestone,,Oher - LSL Systemwide Replacement,1590005-15,20,"4,273","$2,900,000"
201 Waseca,,Other - LSL Replacement,1810004-06,20,"9,241","$841,871"
202 Moose Lake,,Other - LSL Replacements,1090009-05,20,"1,782","$725,000"
203 Faribault,,Other - LSL Replacements 26-28,1660002-04,20,"23,718","$2,350,000"
"",,,MPFA,,,
RANK SYSTEM,,PROJECT,PROJECT ID,POINTS,POPULATION,PROJECT COST
204 Redwood Falls,,Other - LSL Replacement,1640008-04,20,"5,254","$4,470,000"
205 Blue Earth Light and Water,,Other - LSL Replacement 2025,1220001-07,20,"3,181","$1,965,600"
206 Wabasha,,Other - LSL Phase 2,1790013-07,20,"2,521","$12,250,000"
207 Gaylord,,Treatment - Manganese TP Rehab,1720002-05,20,"2,082","$1,731,000"
208 Darfur,,Other - LSL Replacement,1830002-03,20,87,"$44,000"
209 Albert Lea,,Other - LSL Replacement-3,1240001-06,20,"18,379","$1,500,000"
210 Gilbert,,Other - LSL Replacement,1690020-10,20,"1,829","$253,500"
211 Stewart,,Other - LSL Replacment,1430009-09,20,482,"$230,000"
212 Altura,,Other - LSL Replacement,1850018-04,20,373,"$184,000"
213 Minnesota Lake,,Other - LSL Replacement,1220013-03,20,683,"$37,500"
214 Rose Creek,,Other - LSL Replacement,1500014-03,20,454,"$450,000"
215 Kettle River,,Other - LSL Replacement,1090008-06,20,168,"$56,250"
216 Sacred Heart,,Other - LSL Replacement,1650013-06,20,548,"$37,500"
217 South Saint Paul,,Other - LSL Replacement,1190020-04,20,"20,132","$3,115,000"
218 Saint Paul Regional Water Services,,Other - LSL Replacement Phase 4,1620026-26,20,"309,751","$35,000,000"
219 Duluth,,Other - LSL Fairmont 1,1690011-21,20,"86,772","$11,000,000"
220 Duluth,,Other - LSL Lincoln 4,1690011-22,20,"86,772","$11,000,000"
221 Duluth,,Other - LSL 40th Ave W,1690011-23,20,"86,772","$712,800"
222 Duluth,,Other - LSL London Rd,1690011-24,20,"86,772","$1,140,000"
223 Morton,,Other - LSL Replacement,1650010-01,20,400,"$45,000"
224 Finlayson,,Other - LSL Replacement,1580002-04,20,315,"$112,500"
225 Clinton,,Other - LSL Replacement,1060003-05,20,395,"$250,000"
226 Cloquet,,Other - LSL Project 1,1090005-04,20,"12,864","$2,270,625"
227 Cloquet,,Source - PFAS New Well,1090005-05,20,"12,864","$3,614,612"
228 Blooming Prairie,,Other - LSL Replacement,1740001-02,20,"1,977","$177,000"
229 Coon Rapids,,Other - LSL Replacement 2026,1020017-05,20,"61,476","$1,600,000"
230 Coon Rapids,,Other - LSL Replacement 2027,1020017-06,20,"61,476","$2,006,250"
231 Coon Rapids,,Other - LSL Replacement 2028,1020017-07,20,"61,476","$2,143,750"
232 Coon Rapids,,Other - LSL Replacement 2029,1020017-08,20,"61,476","$1,200,000"
"",,,MPFA,,,
RANK SYSTEM,,PROJECT,PROJECT ID,POINTS,POPULATION,PROJECT COST
233 Alden,,Other - LSL Replacement,1240004-08,20,680,"$375,000"
234 Spring Valley,,Other - LSL Replacement,1230012-01,20,"2,580","$506,000"
235 Sleepy Eye,,Other - LSL Replacement,1080005-05,20,"3,599","$832,500"
236 Mankato,,Other - LSL Replacement,1070009-09,20,"42,803","$9,275,000"
237 Saint Peter,,Other - LSL Replacement,1520006-06,20,"11,784","$487,500"
238 Thief River Falls,,Other - LSL Replacement,1570003-02,20,"8,871","$768,000"
239 Mabel,,Other - LSL Replacement,1230007-03,20,803,"$250,000"
240 Pelican Rapids,,Other - LSL Replacement,1560019-09,20,"2,577","$2,592,607"
241 Harmony,,Other - LSL Replacement,1230005-02,20,"1,089","$31,250"
242 Stewartville,,Other - LSL Replacement,1550026-01,20,"6,850","$212,500"
243 Minneapolis,,Other - LSL Replacement Streets Year 1,1270024-14,20,"424,536","$360,000"
244 Minneapolis,,Other - LSL Replacement Streets Year 2,1270024-15,20,"424,536","$2,817,400"
245 Minneapolis,,Other - LSL Replacement Streets Year 3,1270024-16,20,"424,536","$15,750,000"
246 Minneapolis,,Other - LSL Replacement Streets Year 4,1270024-17,20,"424,536","$8,556,052"
247 Minneapolis,,Other - LSL Repl Green Zones Year 1,1270024-18,20,"424,536","$5,166,000"
248 Minneapolis,,Other - LSL Repl Green Zones Year 2,1270024-19,20,"424,536","$4,978,400"
249 Minneapolis,,Other - LSL Repl Green Zones Year 3,1270024-20,20,"424,536","$21,375,000"
250 Minneapolis,,Other - LSL Repl Green Zones Year 4,1270024-21,20,"424,536","$6,195,762"
251 Anoka,,Other - LSL Replacement (2000-14 Street),1020001-03,20,"17,749","$1,000,000"
252 Peterson,,Other - LSL Replacement,1230009-02,20,213,"$300,000"
253 Duluth,,Other - LSL High Priority 2026,1690011-30,20,"86,859","$2,400,000"
254 Duluth,,Other - LSL Neighborhoods 2026,1690011-31,20,"86,859","$56,526,000"
255 Sauk Rapids,,Other - 2025 LSL Replacement,1050004-13,20,"13,830","$1,126,400"
256 Claremont,,Other - LSL Replacement,1200001-04,20,773,"$212,000"
257 Sauk Rapids,,Other - 2026 LSL Replacement,1050004-14,20,"13,559","$5,515,425"
258 Cambridge,,Other - LSL Replacement,1300002-04,20,"9,862","$600,000"
259 Beardsley,,Other - LSL Replacement,1060002-07,20,216,"$2,034,500"
260 Norwood-Young America,,Other - LSL Various Replacements,1100019-06,20,"3,850","$100,000"
261 Winsted,,Treatment - Manganese Plant,1430010-05,20,"1,962","$9,600,000"
"",,,MPFA,,,
RANK SYSTEM,,PROJECT,PROJECT ID,POINTS,POPULATION,PROJECT COST
262 Pennock,,Other - LSL Replacement,1340006-02,20,492,"$375,000"
263 Fridley,,Treatment - PFAS Treatment Locke Park TP,1020031-03,20,"29,422","$6,375,000"
264 New Auburn,,Other - LSL Replacement,1720007-06,20,456,"$50,000"
265 Moorhead,,Other - LSL Replacement Phase 5,1140008-24,20,"44,583","$450,000"
266 Moorhead,,Other - LSL Replacement Phase 6,1140008-25,20,"44,583","$225,000"
267 Hayfield,,Other - LSL Replacement,1200004-01,20,"1,364","$759,000"
268 Hancock,,Other - LSL Replacement,1750004-03,20,845,"$125,000"
269 Caledonia,,Other - LSL Replacement,1280002-05,20,"2,824","$309,750"
270 Plainview,,Other - LSL Replacement,1790012-05,20,"3,340","$759,000"
271 Saint Paul Regional Water Services,,Other - LSL Replacement Urgent 2025,1620026-28,20,"308,806","$600,000"
272 Minneapolis,,Other - LSL Repl (Leaking LSL)-2024,1270024-22,20,"425,091","$1,590,000"
273 Dawson,,Other - LSL Replacement,1370003-09,20,"1,540","$312,500"
274 Monticello,,Treatment - Manganese Treatment Plant,1860012-01,20,"13,583","$45,000,000"
275 Murdock,,Other - LSL Replacement,1760007-08,20,306,"$125,000"
276 Hopkins,,Other - LSL Replacement,1270016-02,20,"18,998","$2,343,750"
277 Bird Island,,Other - LSL Replacement Phase 2,1650001-13,20,"1,024","$37,500"
278 Bird Island,,Other - LSL Replacement Phase 3,1650001-14,20,"1,024","$37,500"
279 Bird Island,,Other - LSL Replacement,1650001-08,20,960,"$150,000"
280 LeSueur,,Other - LSL Replacement,1400010-13,20,"4,170","$202,400"
281 Cold Spring,,Other - LSL Replacement,1730006-06,20,"4,201","$2,415,000"
282 Montrose,,Treatment - Manganese Plant,1860016-05,20,"3,505","$13,850,000"
283 Maple Plain,,Other - LSL Replacement,1270021-06,20,"1,650","$412,500"
284 Saint Paul Regional Water Services,,Other - LSL Phase V,1620026-30,20,"365,136","$50,625,000"
285 Saint Paul Regional Water Services,,Other - LSL Urgent Phase 2,1620026-31,20,"365,136","$950,000"
286 Anoka,,Other - LSL Replacement (2000-14 Phase 2,1020001-04,20,"17,892","$925,000"
287 Minneapolis,,Other - LSL Repl (Leaking Phase 2)-2025,1270024-24,20,"426,877","$1,820,000"
288 Maple Plain,,Other - LSL Replacement Main St.,1270021-08,20,"1,780","$55,000"
289 Minneapolis,,Other - LSL Repl (Leaking Phase 3)-2026,1270024-25,20,"425,300","$2,250,000"
290 Hollandale,,Other - LSL Replacement,1240013-05,20,338,"$77,000"
"",,,MPFA,,,
RANK SYSTEM,,PROJECT,PROJECT ID,POINTS,POPULATION,PROJECT COST
291 North Saint Paul,,Other - LSL Replacement,1620011-02,20,"13,134","$10,294,000"
292 Hastings,,Treatment - PFAS Central WTP,1190012-02,20,"22,250","$26,700,000"
293 Hastings,,Treatment - PFAS Western WTP,1190012-03,20,"22,250","$21,600,000"
294 South Saint Paul,,Treatment-PFAS Removal W4,1190020-06,20,"20,598","$6,630,000"
295 Robbinsdale,,Other - LSL Replacement,1270046-04,20,"14,646","$550,000"
296 Robbinsdale,,Treatment - PFAS TP Addition,1270046-05,20,"14,646","$15,743,000"
297 Buffalo,,Other - LSL Phase 2026,1860005-09,20,"16,711","$1,387,500"
298 Mound,,Other - LSL Replacement,1270038-02,20,"9,447","$544,500"
299 Hastings,,Other - LSL Replacement,1190012-04,20,"22,050","$3,993,750"
300 Long Lake,,Other - LSL Replacement,1270018-01,20,"1,729","$1,556,000"
301 Beaver Creek,,Other - Manganese Connect to Rock County,1670001-01,18,266,"$260,000"
302 Holdingford,,Source - Manganese New Well,1730014-02,18,697,"$511,650"
303 New Munich,,Source - Manganese New Wells & Wellhouse,1730017-01,18,297,"$1,253,200"
304 Eagle Lake,,Treatment - Manganese TP & New Well,1070002-03,18,"3,064","$14,135,000"
305 Coates,,Other - New System Supplied by Rosemount,1190035-01,17.5,25,"$16,800,000"
306 Campbell,,Other - LSL Replacement,1840003-05,15,159,"$50,000"
