Rank,Points,PIF #,Entity,"Owner
Type",PWS ID,Population,Project Description,"Requested
Phase(s)",Total Project Cost,"Disadv
%","Green
Type",GPR,"Related PIF
#'s"
222,33,17430,De Berry WSC,W,TX1830006,1101,"The service area is experiencing aging infrastructure, water loss, and operational challenges. This project aims to assess asset conditions and develop a plan to enhance system reliability using data from hydraulic modeling, leak detection, and other relevant studies.",P,405000,0.7,,,
223,33,17467,Roaring Springs,M,TX1730002,231,"Roaring Springs will be drilling a new production water well and installing a new transmission line from the new well to the city's standpipe. An asset management plan will be developed as part of
this project.",PADC,4180000,0.7,,,
224,33,17327,Grandfalls,M,TX2380003,395,"The City of Grandfalls (City) aims to enhance its water system by
upgrading the existing residential metering system and preparing an asset management plan.",PDC,1444000,0.7,Yes-CE,1444000,
225,33,17809,Marathon WS & SS Corp,W,TX0220013,430,"Marathon WSC, in an effort to increase efficiency, improve operations and conserve water would contract for smart meters and an
advanced metering infrastructure system",PDC,696900,0.7,,,
226,33,17431,Mount Calm,M,TX1090005,474,"Replacement of existing distribution system, level-up the existing elevated storage tank, and replace old, outdated meters with new
radio-read meters.",PDC,9116000,0.7,,,
227,33,17493,Santa Anna,M,TX0420002,1090,"This project includes the replacement of most of the City of Santa Anna's distribution system including the replacement of all water meters, replacement of 99,645 LF of water lines ranging in size from 3/4 inch to 8 inch. The City is also planning replace all meters within their distribution system with meters that are compatible with either AMR or AMI network systems. The City also wants to increase their storage capacity by including a 200,000-gallon ground storage tank that will require the acquisition of land. This project also includes the
development of an asset management plan.",PADC,30174000,0.7,Yes-BC,28590000,
228,33,17415,San Saba,M,TX2060001,3121,"Replace existing meter system with new drive-by AMR system.
Rehabilitate two existing storage tanks",PDC,2060000,0.7,Yes-CE,,
229,33,17309,San Jacinto SUD,D,TX2040033,3993,"Develop a new water supply well and construct associated water system improvements for San Jacinto Special Utility District to increase system capacity, improve reliability, and ensure adequate
supply for existing customers and anticipated growth.",PDC,2025500,0.7,,,
230,32,17466,Hidalgo Co DD # 1,D,TX1080088,85224,"Planning, Design, Permitting, and Construction of a 5 MGD Water
Treatment Plant with intake pump station, reservoir, and distribution system connection.",PDC,71380000,,Yes-BC,71380000,
231,31,17449,Wortham,M,TX0810003,980,"The City has aging infrastructure resulting in high water loss and a
burden upon public works staff to maintain the system. Much of the City's distribution piping is old and needs to be replaced",PDC,6920000,0.7,,,
232,31,17318,Coahoma,M,TX1140002,3552,"The City of Coahoma has recently assumed ownership of the former Howard County WCID No. 1 water system, adding approximately 960 connections to its service area. The absorbed system relies entirely on aging 6-inch and 10-inch transmission mains from the City of Big Spring for both water supply and system pressure, with no independent production or storage facilities. The proposed project will replace these deteriorated transmission lines, construct pressure-boosting and storage facilities to improve reliability and maintain regulatory pressure requirements, and develop an Asset Management Plan to support long-term operational sustainability and
infrastructure planning",PADC,25178000,,Yes-BC,770000,
233,31,17629,Corsicana,M,TX1750002,68459,"Extend new water main loop around the new SH-31 bypass from the Halbert Lake WTP to the west side and south side of the City. This will allow for an extra feed to west side of the City along with an additional feed to the wholesale customers of City of Richland, Angus
WSC and MEN WSC.",PADC,16014000,0.7,,,
234,31,17610,Pittsburg,M,TX0320001,4432,"The City of Pittsburg, Texas is seeking assistance for funding several improvements to water distribution, metering, and storage facilities, as well as the development of a water system model to help better
direct future water system improvements",PDC,6973100,0.7,Yes-CE,1500000,
235,30,17587,Oak Ridge,M,TX0490021,468,"Water System Improvements for the Town of Oak Ridge project will involve the rehabilitation of the existing standpipe, hydraulic modeling of the system, upgrading the service pump capacity, and upgrading the existing meters to a Radio Automated Meter Reading (AMR)
system.",PDC,5458000,0.7,,,
236,30,17448,Thornton,M,TX1470005,530,Upgrade water system components and distribution lines.,PADC,10206000,0.7,,,
237,30,17662,Rule,M,TX1040003,597,"This project involves the replacement of old cast iron lines with new
lines, an AMR meter system, EST rehab, and backup power generation.",PDC,995500,0.7,Yes-CE,180000,
238,30,17262,Covington,M,TX1090021,717,"The proposed project includes: A new well to increase system capacity, a new pump station, existing pump upgrades; Rehabilitation of transmission lines; Rehabilitation of distribution lines; Proposed
EST.",PADC,9309000,0.7,,,
239,30,17450,Covington,M,TX1090021,717,"The proposed project includes: A new well to increase system capacity, a new pump station, existing pump upgrades; Rehabilitation of transmission lines; Rehabilitation of distribution lines; Proposed
EST.",PADC,9930000,0.7,,,
240,30,17345,Lorenzo,M,TX0540002,834,"The City of Lorenzo is proposing to sandblast and recoat their two existing ground storage facilities along with install various isolation
valves throughout the City.",PDC,1300000,0.7,,,
241,30,17425,Cross Plains,M,TX0300003,926,"The project includes the installation of AMR meters and meter
reading system.",PDC,500000,0.7,Yes-CE,500000,
242,30,17292,Grapeland,M,TX1130002,1419,"Rehabilitation/replacement of components within the water system and distribution system need upgrades and improvements.
Improvements include water line upgrades, replacement of old valves
and fire hydrants, and EST rehab",PDC,6277000,0.7,,,
243,30,17308,Itasca,M,TX1090003,1562,Itasca Water System Improvements,PDC,8315418,0.7,Yes-BC,1575000,
244,30,17459,Grand Saline,M,TX2340003,3219,"Water System Improvements: New Water Wells, EST Rehabilitation
and Improvements, and Waterline Replacements",PADC,6850000,0.7,Yes-BC,1500000,
245,30,17640,Crystal City,M,TX2540001,6354,"Replacement of Asbestos Cement fresh water pipes with larger,
safer, and more efficient PVC Pipe",PDC,1970250,0.7,,,
246,30,17300,Corsicana,M,TX1750002,68459,"City plans to establish new pressure plane in order to establish higher pressures within higher elevations of the City's service area. This would include new elevated storage tank, system isolation/pressure reducing valves, pump station and water transmission line upgrades.",PADC,16926000,0.7,,,
247,30,17481,Johnson County SUD,D,TX1260018,65427,"The proposed project includes the use of reverse osmosis (RO) and granular activated carbon (GAC) technologies to prepare for the new PFAS limits initiated by EPA in Spring 2024. Given the introduction of PFAS into source waters from wastewater effluent discharge, JCSUD is implementing RO and GAC technologies to be prepared to reduce emerging contaminants from its source water. The proposed project is looking for DWSRF funding in the event that EC funding for construction is not available. The proposed project also includes the
development of an asset management plan",PADC,396827000,,Yes-BC,396827000,
248,29,17288,Gordon,M,TX1820007,744,"The project consists of installing new wells, pump station, storage, and transmission lines to convey a new groundwater supply to the
City.",PADC,8800000,,,,
249,29,17285,Hitchcock,M,TX0840004,7341,"The purpose of this project is to improve the City's water distribution
system through the installation of additional valves and the targeted replacement of water mains.",DC,9100000,,Yes-BC,9100000,
250,28,17336,Miles,M,TX2000002,920,"The City of Miles needs to replace the undersized 6-inch transmission lines running from the city of San Angelo to the City of Miles, rehabilitate the Harriet Pump Station, and replace aging infrastructure
at the City's Water Treatment Plant.",PDC,37196000,,Yes-BC,25175000,
251,28,17306,Barton WSC,W,TX0720013,1104,"Barton WSC is initiating a project to enhance the integrity of their water distribution system by addressing existing water loss issues. The project will involve replacing aging, leaking water lines to significantly reduce losses and ensure compliance with minimum
pressure requirements as outlined in 30 TAC 290.44(d)",PDC,19125000,,Yes-BC,10497000,
252,27,17499,Johnson County SUD,D,TX1260018,65427,"The proposed project includes the use of reverse osmosis (RO) and granular activated carbon (GAC) technologies to prepare for the new PFAS limits initiated by EPA in Spring 2024. Given the introduction of PFAS into source waters from wastewater effluent discharge, JCSUD is implementing RO and GAC technologies to be prepared to reduce emerging contaminants from its source water. This project is focused on funding an expansion of the existing SWATS WTP that JCSUD has contracted treatment capacity from. The proposed project also includes the development of an asset management plan.",PADC,336695000,,Yes-BC,336695000,
253,26,17627,Tehuacana,M,TX1470013,224,"The purpose of this project is replace/upsize undersized water mains that are causing maintenance and operation issues within the system Replacement of ex. valves, fire hydrants and installation of new valves, fire hydrants are also needed throughout for better operation and maintenance of the overall system. Replacing and improving the existing distribution system will also help reduce overall water loss.",PDC,499000,,,,
254,26,17474,Houston,M,TX1010013,2314157,"Accelerated rehabilitation and replacement of small diameter (2""-20"") water distribution infrastructure to address deficiencies affecting wate quality, fire flow availability, water loss, sub-standard water lines, system design and asset age. Includes replacement of lines undersized for current usage, improve integrity of water supply, and replacement of end-of-life components (lines, valves, appurtenances) Work to be performed within existing City rights-of-way under task
order-based contracts.",C,42000000,,,,
255,26,17475,Houston,M,TX1010013,2314157,"Accelerated rehabilitation and replacement of large diameter (>20"") water distribution infrastructure to address deficiencies affecting wate quality, fire flow availability, water loss, system design and asset age. Includes replacement of lines undersized for current usage, improve integrity of water supply, and replacement of end-of-life components (lines, valves, appurtenances). Work to be performed within existing City rights-of-way under task order-based contracts.",C,42000000,,,,
256,26,17476,Houston,M,TX1010013,2314157,"Replacement of small diameter distribution infrastructure serving
disadvantaged communities within the City of Houston",DC,35388150,,,,
257,25,17434,Itasca,M,TX1090003,1625,"New well, rehab existing GST, rehab existing EST, and replace
distribution pipe",PDC,17633000,,,,
258,23,17810,Raywood WSC,W,TX1460006,1605,"Raywood WSC is proposing a new 150,000 Gallon Elevated Storage Tank, a new groundwater well along with treatment equipment and
approximately 29,000 linear feet of waterline",PDC,10880000,,,,
259,23,17320,Kirby,M,TX0150010,8142,"The City needs 2 water wells installed. An old well needs to be replaced with a new one and the city needs an additional third well
installed for a total of 3 wells",PDC,5236200,,,,
260,23,17254,Bowie,M,TX1690001,5534,"The expansion of the City of Bowie's SWTP is required to ensure the
minimum treatment capacity mandated by TCEQ",DC,40500000,,,,
261,22,17377,MacBee SUD,D,TX2340012,7548,"The proposed project includes construction of transmission and distribution line improvements, a booster pump station, and upgrades to an elevated storage tank to allow decommissioning of the Jackson pump station and associated groundwater wells. The project will convert the Jackson pressure plane from groundwater to treated surface water supplied by the existing treatment plant. The current groundwater supply has proven insufficient to reliably meet regulatory requirements and development of additional groundwater sources is limited. The proposed improvements will enhance regulatory compliance, improve system reliability and pressure stability, and provide a sustainable long-term water supply. Community will also request funds to pursue an asset management plan.",PADC,13563828.7,,Yes-BC,13463830,
262,22,17328,Hawley WSC,W,TX1270006,8436,"Hawley Water Supply Corporation is proposing to upgrade an existing booster pump station, Install two (2) new booster pump stations for two (2) respective pressure planes, and upsize various transmission lines throughout their distribution system along with preparation of an
asset management plan.",PADC,40135000,,,206000,
263,21,17775,"Texas Water Utilities, L.P.",P,TX2390043,3075,"The proposed project includes rehabilitation of multiple wells, replacement of existing high service pump stations, addition of new ground, pressure, and elevated storage, and prioritized replacement of existing distribution lines. The project will also include the
development of an asset management plan",PADC,90364000,,Yes-BC,90364000,
264,21,17453,Moffat WSC,W,TX0140028,4558,"The Moffat Water Supply Corporation needs to replace all of their
water meters because of failure. They also need to replace numerous segments of leaking pipe because of excessive leakage",DC,3425000,,Yes-CE,3425000,
265,20,17900,Evadale WCID # 1,D,TX1210011,963,"EWCID1 is currently having issues with its water distribution system and their water lines are deteriorating and undersized. This project wi provide additional distribution capacity and replace deteriorated
distribution.",PDC,968800,,,,
266,20,17423,Crescent Heights WSC,W,TX1070016,2379,"A new public water supply well, pressure facilities, and line upgrades.",PDC,4466400,,,,
267,20,17791,Trinity Rural WSC,W,TX2280011,5059,"NORTH SYSTEM -Project includes property acquisition and construction of a relocated standpipe from the Chita System. SCADA integration to improve distribution storage and system reliability.
SOUTH SYSTEM -Improvements include restoration of the existing raw water intake pipeline, removal of an undersized intake line, and installation of an additional intake pump to increase raw water supply. Construction of new treatment facilities, installation of additional filtration and transfer pumping, chemical system modifications, electrical upgrades, SCADA integration, and construction of a new clearwell. PINECREST PLANT -Project includes replacement of existing ground storage tanks, electrical building upgrades, installatio of standby power, air system improvements, and replacement of pump motors. LAKE L PLANT -Improvements include installation of standby power, construction of a relocated standpipe from the Chita System, and SCADA system upgrades. CHITA SYSTEM -
Construction of a new distr",PADC,37712490,,,,
268,20,17501,Lampasas,M,TX1410001,7757,"Improvements to the City's two (2) aging water supply entry points to improve chloramine boosting, chemical mixing, data collection, and
flow metering.",C,4800598,,,,
269,20,17818,Freeport,M,TX0200005,10621,"The project intends to replace existing distribution system pipes that
are leaking and resulting in water loss",DC,12810000,,Yes-BC,5950000,
270,19,17462,Henderson,M,TX2010001,13385,"The City of Henderson has water rights from Lake Striker located approximately 15 miles southwest of Henderson. These improvements will consist of infrastructure to transport the raw water from the lake as well as a 2.0 MGD surface water treatment plant. This project will allow the City to transition from an aging groundwater
field to a more reliable surface water source",PADC,47675000,,Yes-BC,500000,
271,19,17488,Robertson County WSC,W,TX1980013,3611,"The project includes an elevated storage tank, 290,400 LF of water
line replacement and an asset management plan",PDC,40835000,,Yes-BC,40835000,
272,18,17402,Brandon-Irene WSC,W,TX1090018,2199,"Brandon-Irene WSC has an average 54% water loss percentage over the past five years with the 2024 percentage at 62%. The project will replace 9.6 miles of water main lines that need to be replaced to reduce water loss due to leaks. After completion of the project, the water supply hopes to reduce the water loss percentage by at least 50% and in ten years have no more than a 15% water loss
percentage.",ADC,4211241.8,,Yes-BC,4211242,
273,18,17616,B & B WSC,W,TX1750028,3027,"Replace old, deteriorated and under capacity water main and pump station(s). One of the pump stations is out of service and must be replaced while the other pump station is in violation of TCEQ that must be addressed. Replacing the main and pump station is essentia to meeting TCEQ requirements. This is part of a multi-phase project.",PADC,7500000,,,,
274,18,17409,Travis Co WCID # 17,D,TX2270027,696,"Water line replacements to mitigate water loss in the River Ridge
CCN.",PDC,6791000,,Yes-BC,6791000,
275,18,17654,Roby,M,TX0760001,1147,"The City of Roby desires to replace aging and deteriorated water
distribution lines throughout the system to reduce water losses and increase system reliability",PDC,7520000,,Yes-BC,7520000,
276,18,17360,Lone Pine WSC,W,TX0010021,1206,"New Water Well, Ground Storage, Linework, Meters",PADC,5790000,,,,
277,18,17584,Tolar,M,TX1110012,1461,"The City of Tolar is a growing community proposing the installation of two new municipal water wells, associated raw water transmission lines, and distribution system improvements to increase overall water supply capacity and support current and future demand.",PADC,6009000,,,,
278,18,17388,BCY WSC,W,TX0010018,3108,"Planning, property acquisition, design, bidding, and construction of
water system improvements.",PADC,6325000,,Yes-BC,1500000,
279,18,17800,Navarro Mills WSC,W,TX1750024,3852,"The WSC completed a Water System Study in 2022 which identified multiple capacity issues throughout the water treatment and distribution system resulting in the need for upgrades to bring the
facilities into compliance with TCEQ regulations",PDC,2500000,,,,
280,18,17346,Madisonville,M,TX1570001,6111,"The Madisonville Water Well and Waterline Project will construct a new water production facility on the east side of I-45 including a new well, storage tank, booster pumps, and related treatment facilities as well as linework to deliver the new water to the existing elevated storage tank. Project will also include about 10,500 linear feet of distribution system improvements. Project will include the
development of an Asset Management Plan.",PDC,9945000,,,,
281,17,17406,Travis Co WCID # 17,D,TX2270027,4404,"Water line replacement project to mitigate water loss for the Apache
Shores CCN.",PDC,12969000,,Yes-BC,12969000,
282,17,17520,Liberty Hill,M,TX2460013,8777,"This project includes the City of Liberty Hill's Advanced Water Purification Facility for direct potable reuse. This project is essential t ensuring a reliable, sustainable, and efficient water supply for Liberty Hill that supports both current needs and future growth while implementing innovative water reuse strategies. This project will also help the City comply with stricter total phosphorus limits imposed at the South Fork WWTP through treatment and reuse of effluent via the
AWPF.",PADC,228000000,,,,
283,17,17248,Aqua WSC,W,TX0110013,9777,"The project will construct a transmission waterline to connect
Brownsboro Station to the proposed HWY 183 elevated storage tank (EST).",C,6449000,,,,
284,16,17334,Mertzon,M,TX1180002,781,"The project will consist of replacing aging and deteriorated water distribution lines and valves. The City will also acquire approximately 17 acres of land from TxDOT and will add a new groundwater well on
the acquired land",PDC,21448000,,Yes-BC,13727000,
285,16,17333,Mason,M,TX1600001,2228,"Improvements to the distribution system including line replacement, ground storage improvements, and additional water production and
an asset management plan.",PDC,16482000,,Yes-BC,15658000,
286,16,17577,Sonora,M,TX2180001,2766,"System has Asbestos Concrete (AC) water lines and other water line that are prone to leaks and breaks which will be replaced with durable, modern materials to reduce water loss, eliminate health risks associated with asbestos, and extend the service life of the
distribution system",PADC,18124000,,Yes-BC,18214000,
287,16,17411,South Plains WSC,W,,704,"The project includes treatment, supply, and other infrastructure to
correct TCEQ violations and other deficiencies in the South Plains Water Supply Corporation System.",PDC,11200000,,,,
288,16,17870,Brock,M,,964,"The Town of Brock has no public water system under its own PWS ID. This project will be to create a public water system to allow
residents to get off of well water",PADC,4344000,,,,
289,16,17447,West Tawakoni,M,TX1160012,2543,"This project includes replacing old leaking waterlines to reduce high water loss, increase water conservation and mitigate low pressure
issues. Also to upgrade treatment capacity for water quality.",PDC,8670000,,,,
290,16,17414,Willow Park,M,TX1840027,6804,"The project consists of replacing old, deteriorated water lines in the
West Oak area of the City's distribution system to reduce water loss and repair costs and provide more reliable service",PDC,5000000,,Yes-BC,5000000,
291,16,17824,Orange,M,TX1810004,22205,"Construct a new Water Well Plant for the City of Orange, Texas.",PDC,38668538,,,,
292,16,17801,Georgetown,M,TX2460001,191639,"Rattlesnake Pump Station will contain ground storage tanks, a high
services pump station, electrical and administration buildings and possibly additional chemical feed facilities.",C,93000000,,,,
293,15,17456,Alleyton,,TX0450087,192,"The applicant proposes the use of additional water sources and support components to improve compliance and production reliability for the existing Alleyton Groundwater Supply. The project will also
include the development of an asset management plan",PADC,4203000,,Yes-BC,4203000,
294,15,17604,Trent,M,TX2210009,368,"The City desires to upgrade/replace the existing elevated storage tank and replace the existing 8"" Asbestos Cement transmission supply line that is the only source of water. The line experiences frequent breaks that shut off water supply to the City. The City also desires to replace all existing AC water lines within the distribution system and replace the existing EST that was constructed in 1927.
An asset management plan will also be developed",PDC,17282000,,Yes-BC,17282000,
295,15,17463,Liverpool,M,TX0200555,585,"This project includes the instillation of a new approximately 120 gpm
water well and necessary piping",DC,1411665,,Yes-BC,203500,
296,15,17319,East Garrett WSC,W,TX0700024,1521,"East Garrett WSC is proposing water system improvements to reduce water loss and enhance distribution system performance. The project includes the replacement of existing leaking water lines to improve system efficiency and ensure compliance with minimum pressure requirements in accordance with 30 TAC 290.44(d). Asset
management plan is part of the project too.",PDC,8761000,,Yes-BC,8761000,
297,15,17469,"Texas Water Utilities, L.P.",P,TX0270011,1650,"The applicant proposes to install additional membrane filtration treatment and water distribution lines to achieve compliance and expand water production. Further improvements include the addition of new wells to meet capacity requirements. The project will also
include the development of an asset management plan",PDC,13864000,,Yes-BC,13864000,
298,15,17736,Tatum,M,TX2010034,1902,"RO filter system, replacement of waterlines, new water well, ground
storage tank, SCADA system, 2 generators",PADC,6675000,,Yes-BC,1000000,
299,15,17331,Lake Palo Pinto Area WSC,W,TX1820069,2247,"This project is targeted mainly at making distribution system improvements to bring the system in compliance with TCEQ minimum line size requirements (30 TAC ?290.44(c)). It also includes pump station improvements to eliminate an existing inline booster pump station, and replace old infrastructure, provide better pressure maintenance for areas of the existing system, and provide operationa flexibility through SCADA improvements and piping installation at the
Water Treatment Plant.",PDC,4783000,,Yes-BC,1800000,
300,15,17804,Upper Jasper Co WA,D,TX1210060,3048,"Project replaces about 78,000 linear feet of water lines which have a history of breaks, resulting in water loss, destruction of roads becaus the lines are beneath county roads. Project will include an asset
management plan",PDC,12190000,,,,
301,15,17826,Lake Livingston WSSSC,W,TX1870165,3284,"Expand the existing surface water treatment capacity from 0.75 MGD
to between 1.5 and 1.75 MGD.",PADC,22662106,,,,
302,15,17579,Crockett Co WCID # 1,D,TX0530012,3800,"The Crockett County WCID plans to address critical system deficiencies by replacing failing water distribution lines, installing new fire hydrants and isolation valves, and adding a backup generator at the water operations office. These improvements will enhance system reliability, improve leak isolation and fire protection capability, and ensure continued operation of critical water system functions during power outages, thereby supporting regulatory compliance and the
delivery of safe and reliable drinking water",PDC,10827000,,Yes-BC,10827000,
303,15,17498,Norwood WSC,W,TX0010047,4701,Proposed pump station and water line improvements.,PADC,3275475.38,,Yes-BC,1275911,
304,15,17626,Primera,M,TX0310094,5257,"The City of Primera proposes to develop a new groundwater supply and reverse osmosis water treatment plant to improve water system reliability, provide an alternate water source, and ensure long-term compliance with state and federal drinking water standards. The project will include groundwater exploration, test well drilling, production well construction, environmental review and clearance, permitting, planning, hydraulic modeling of the existing water distribution system, design, and construction of a new reverse osmosis treatment facility and associated infrastructure. The project will also include preparation and calibration of a hydraulic model of th city's existing water distribution system to evaluate system capacity, pressures, storage, and fire flow availability under current and future conditions. The model will be used to optimize integration of the new groundwater supply and treatment facility, identify system improvements, and ensure reliable delivery of treated potable",PADC,18282900,,,,
305,15,17400,Springs Hill SUD,W,TX0940022,35472,"SH 46 Pump Station is a project designed to provide storage
capacity, pumping capacity, pressure increase, and upgrade transition mains within Springs Hill's Zone 2 area",C,4000000,,,,
306,14,17239,Bushland WSC,W,TX1880002,300,New well with added booster pump and well house,PDC,2435250,,,,
307,14,17738,East Medina Co SUD,D,TX1630020,2505,"Construction of 100,000-gallon elevated storage tank at East Medina
County SUD Plant 4",PDC,2888000,,,,
308,14,17267,Denton,M,TX0610002,157147,"A small subdivision of 21 homes in Denton County is facing an urgent need for a permanent water solution. Currently the homes rely on a private water system supported by two community wells, both of which have failed and are considered beyond repair. The system has multiple compliance issues with the TCEQ, including a history of faile biological testing, in which, during a bacteriological test, E. coli was detected. In addition, data showed PFOS level at 6.33 ng/L, among other problematic PFAS readings, and a high concentration of
manganese.",ADC,1428654.4,,,,
309,14,17348,Maud,M,TX0190007,988,"Replace current undersized and deteriorating water lines. Additionally
create a loop system for ease of maintenance.",PDC,4666500,,,,
310,14,17368,Payne Springs WSC,W,TX1070119,1449,"The project constructs a pump station, ground storage tank, generator, and pressure tanks to integrate three wells at the Payne Springs site. The new pump station will blend water from all wells and discharge it into the system, improving reliability and system
efficiency.",PADC,3307173.46,,Yes-BC,3307174,
311,14,17342,La Coste,M,TX1630004,1488,"The City's existing water well is undersized and failing and cannot be rehabilitated. A new well will need to be drilled to replace it. The City does not have a Water Utility Master Plan. The City's CCN extends over a large amount of undeveloped land. The Master Plan is neede to help them direct their efforts to serve these undeveloped areas.
The City has many undersized galvanized pipes that are leaking and in need of repair. However, many of the existing pipes are not shown on maps and will need to be located to determine the size and length so that an estimated replacement cost can be established. It is believed that these lines are a significant contributor to the systems
annual non-revenue loss",PADC,3578668,,,,
312,14,17291,Granite Shoals,M,TX0270049,5328,"Replace existing 150,000 gallon elevated water tower with an
350,000 gallon elevated water and replace 2"" water lines with 6"" water lines",PDC,5108650,,,,
313,14,17240,Alpine,M,TX0220001,6000,"The City has a history of high water loss and water main breaks. The project will include replacement of water mains and the construction of valves and fire hydrants to assist with system operations, flushing,
and redundancy",PADC,7230000,,,,
314,14,17242,Alpine,M,TX0220001,6000,"Aging well field transmission lines causing water loss and insufficient
supply.",PADC,257000,,,,
315,14,17243,Alpine,M,TX0220001,6000,"In effort to decrease water loss, the City of Alpine intends to replace
the transmission lines from the water supply wells to water storage tanks that are prone to breaks and leaks.",PADC,6441000,,,,
316,14,17854,West Cedar Creek MUD,D,TX1070190,22045,"Proposed Water line improvements along S.H. 274 in Seven Points and County Line Road in Tolosa to reduce water loss, improve system efficiency, and replace the deteriorated ground storage tank
at the Tolosa WTP.",PADC,5960024.7,,Yes-BC,5960025,
317,14,17264,Del Rio,M,TX2330001,46500,"Includes replacement of sections of existing 10 miles (approx.) of water distribution system that were identified as undersized/failing in the order of priority that was identified in the 2010 Water Model and Leak Detection Study. This project is the continuation of the City's program to replace water lines, which started with the previous work
under Phase I- Waterline Replacement Project",PDC,42241888,,,,
318,13,17321,Carl's Corner,M,TX1090070,201,"The City's water well only produces ten gallons per minute to serve approximately 71 connections which is severely below the amount of the TCEQ requirement of 0.6 gpm per connection. The City desires to increase its water supply by constructing a new water well. Eight households are currently having water hauled to their homes due to lack of water distribution daily. Currently all water lines within the City distribution system are no greater than two-inches (2""). Some of the water lines cross private property and/or lie outside City right-of-way. There are no fire hydrants within the City's current distribution system. The City desires to upgrade and replace its entire distribution system and valves while restoring fire suppression with the addition of fire hydrants throughout its water distribution system.",DC,11607800,,,,
319,13,17460,Upper Jasper Co WA,D,TX1210064,975,"Proposed new elevated storage tank and rehabilitation of existing
standpipe. Project will include an asset management pla",PDC,3870000,,,,
320,13,17293,Upper Jasper Co WA,D,TX1210060,3048,"Transmission water line, storage, and pumping to connect to the City
of Jasper water system",PADC,5085000,,,,
321,13,17647,West Hardin WSC,W,TX1000055,4473,New Water Well and Water Distribution Line Improvements,PDC,2276500,,,,
322,13,17354,Merkel,M,TX2210002,4530,"The project includes replacement of cast iron and galvanized water lines in the water system that old and deteriorated resulting in
frequent water breaks and are in need of replacement",PDC,22025200,,,,
323,13,17482,Moffat WSC,W,TX0140028,4530,"Moffat WSC would like to begin construction on a new well that would serve as another water source. In addition, Moffat WSC would like to upsize a few waterlines that have more connections than allowed per
TCEQ and are dead ends.",PDC,7700000,,,,
324,13,17889,Johnson County SUD,D,TX1260018,65517,"The project consists of a new 42-inch water transmission main designed to transport drinking water from Arlington, TX to Joshua, TX
for use by the Johnson County Special Utility Distric",PADC,347000000,,,,
325,13,17509,Lawn,M,TX2210005,660,The project includes replacement of water transmission main.,PADC,5156000,,Yes-BC,5156000,
326,13,17426,Cushing,M,TX1740001,967,"Remove and Replace existing waterlines and rehabilitate an existing
water storage tank",PDC,5068500,,,,
327,13,17607,Ames-Minglewood WSC,W,TX1460005,1174,"Water Well, above ground storage tank, pump house and
appurtenances, water lines and system interconnec",PADC,7700000,,,,
328,13,17478,Huntington,M,TX0030002,2121,"Remove and replace existing waterlines in the distribution system an
misc. water plant upgrades.",PDC,4316500,,,,
329,13,17458,Goodsprings WSC,W,TX2010016,2913,Replacement of Waterlines,PDC,3480000,,Yes-BC,2500000,
330,13,17403,Sturdivant-Progress WSC,W,TX1820011,3357,"Sturdivant Progress WSC has multiple locations in the system with small diameter pipes that restrict flow and cause high head loss in the transmission pipes, as well as replacing compressors at multiple
pump stations.",PDC,3430000,,Yes-BC,,
331,13,17261,Coryell City WSD,D,TX0500013,6105,"Coryell City WSD's Proposed project consists of replacing
approximately 26,000 LF of waterline.",PDC,2812715.5,,,,
332,13,17497,Brownsville PUB,M,,190158,"Design a new 64-MGD raw water pump station on the Rio Grande River (near the existing station) to pump raw water to BPUB's existing reservoir, including an intake/screen/wet well structure, enclosed pump building, electrical building, flow meter vault, discharge
structure, and the connecting pipeline",PDC,55164000,,,,
333,12,17401,Springs Hill SUD,W,TX0940022,35472,"The project consists of the construction of a main service electrical feed which also includes a new generator. The construction of the tank will encompass all necessary appurtenances, along with the
installation of piping and mechanical connections",C,2750000,,,,
334,12,17417,Baylor County SUD,W,TX0120004,2535,"Construct a new water treatment plant to provide treated water for
Baylor SUD customers.",PDC,13600000,,,,
335,12,17480,Deerhaven WCID,D,TX1500126,336,"Deerhaven WCID proposes to complete a Phase 3 project of
interconnections of its water distribution system, replace undersized lines, and install new fire hydrants",C,827140.5,,,,
336,11,17287,Lone Oak,M,TX1160018,881,"The City of Lone Oak is experiencing issues with various water lines i
their system due to undersized lines and dead-ends.",PDC,808000,,,,
337,11,17494,Santo SUD,D,TX1820010,3546,"A major portion of Santo SUDS's distribution system is overcapacity and is in need of upsizing to meet the demand of the growing population. The pressure tank at the Bugle Mt. pump station needs
upsizing as well",PDC,40887000,,Yes-BC,40887000,
338,11,17871,Angus WSC,W,TX1750010,1206,"In an effort to comply with TCEQ guidelines, reduce water loss, and better facilitate public water supply. The system is planning to make
needed upgrades.",PADC,2253740,,,,
339,10,17471,"Holiday Harbor Gold Coast
WSC",W,TX1580006,249,Water System Improvements,PADC,3459450,,,,
340,10,17774,Kenedy,M,TX1280002,2500,"This project consists of the rehabilitation of approximately 7000 522 feet of cast iron water main most of which was installed in the 1970s and is currently suffering severe tuberculation, Extending the existing main distribution line which is a 12 inch C900 PVC pipe to connect with the existing 12 inch PVC line that was installed to allow for a larger diameter main in flow rate to the fairgrounds and Kennedy ISD campus complex and ground storage tanks. This second feed will allow or much improved much improved flow rates to all facilities
within the 12 inch loop that this project will provide",PADC,9217819,,,,
