Rank,Points,Project Title,Project Number,Benefited Population,Problem Description,Project Description,Applicant Name,County,Leg District,Cong District,W/S,PFA,Public/Private,System Size,Disadvantaged,Special Flag,Start Date,End Date,Total Cost ($),Green Cost ($),CD Code,Audit,Plan,Green Type,Design Date,Project Type,Compliance,PWSID,PFAS/EC,LSL,Total Cost ($),MDE Requested Funding ($)
31,75,WESTMINSTER PFAS REMEDIATION,DW0040,38000,NON-COMPLIANT WELL IS OFFLINE,DEVELOP PILOT PLAN AND CONSTRUCT PILOT TO TREAT 11 WELLS FOR PFAS,"SARA IMHULSE, CITY OF WESTMINSTER",Carroll,05,2,Y,2,PUBLIC,Large,1,PFAS/EC,09/01/2024,12/31/2024,"$4,500,000",$0,1,Y,Y,,10/01/2023,SOURCE,,MD0060015,Y,,"4,500,000","4,500,000"
32,75,WC-1199 ASHBURTON PUMPING STATION REHABILITATION,DW0113,1800000,CONTINUED RELIABLE OPERATION OF AGING PUMPING STATION IN SUPPORT OF FINISHED WATER STORAGE,MODIFY PUMPING STATION TO SUPPORT WC-1211 UNDER ADMINISTRATIVE ORDER,"ROBERT BURROS, BALTIMORE COUNTY",Baltimore City,41,7,Y,Y,PUBLIC,Large,0,,07/01/2024,08/31/2026,$0,$0,1,Y,Y,,07/01/2014,TRANSMISSION/DISTRIBUTION,Y,MD0300002,,,,"27,144,793"
33,75,WC-1199 ASHBURTON PUMPING STATION REHABILITATION,DW0012,1800000,CONTINUED RELIABLE OPERATION OF AGING PUMPING STATION IN SUPPORT OF FINISHED WATER STORAGE REQUIREMENTS,MODIFY PUMPING STATION TO SUPPORT WC-1211 UNDER ADMINISTRATIVE ORDER,"RICHARD LUNA, MAYOR AND CITY COUNCIL OF BALTIMORE",Baltimore City,41,7,Y,Y,PUBLIC,Large,1,,07/01/2024,08/31/2026,"$57,754,800",$0,1,Y,Y,,07/01/2014,TRANSMISSION/DISTRIBUTION,Y,MD0300002,,,"57,754,878","2,010,330"
34,70,DEHAVEN/MASON ROAD WATER PROJECT,DW0002,95,"50+ YEAR OLD, SMALL DIA FAILING WATER LINES OF 2 SMALL PRIVATE WATER COMPANIES","REPLACE APPROX 8,000 FT WATER LINE + 35 WATER SERVICES & APPURTENANCES AND CONNECT TO ALLEGANY CO EAST REGION DISTRIB SYS","JAMES L. WEBBER, ALLEGANY COUNTY COMMISSIONERS",Allegany,01B,6,Y,5,PUBLIC,Small,1,,11/01/2023,11/30/2024,"$1,500,000",$0,1,,,,08/01/2022,TRANSMISSION/DISTRIBUTION,,MD0010005,,,"1,500,000","1,500,000"
35,70,RIDDLE FARM ELEVATED TANK REHAB,DW0110,1475,"ELEV STORAGE TANK NEEDS TO BE LOWERED, OPER PRESSURE REDUCED, WTP EFFLUENT PUMPS MODIFIED",REHAB AND UPGRADE EXISTING RIDDLE FARM ELEVATED STORAGE TANK,"DALLAS BAKER JR., WORCESTER COUNTY",Worcester,38C,1,Y,2,PUBLIC,Small,0,,12/01/2024,12/31/2025,"$2,029,400",$0,1,,,,09/01/2023,STORAGE,,MD0230019,,,"2,029,490","2,029,490"
36,70,MYERSVILLE DEERWOODS FACILITY GAC FILTER FOR PFAS,DW0053,2800,PFAS DETECTED IN WELL SAMPLE BY MDE,"PILOT TEST, ACQUIRE, INSTALL GRANULAR ACTIVATED CARBON (GAC) FILTER TO DEERWOODS WELL","KRISTIN ALESHIRE, TOWN OF MYERSVILLE",Frederick,04,6,Y,Y,PUBLIC,Small,0,PFAS/EC,05/01/2024,06/30/2024,"$781,400",$0,1,Y,,,07/01/2023,TREATMENT,,MD0100020,Y,,"781,440","781,440"
37,70,PRINCESS ANNE WATER SUPPLY AND TREATMENT IMPROVEMENTS,DW0080,3300,"DISCOLORED WATER, STAINING OF CLOTHES, FOUL ODORS, SKIN IRRITATION FROM WATER SUPPLY","INSTALL CARBON FILTERS AT WELL SITES, NEW SCADA, RADIOS, AND BACK-UP GENERATOR","ANTHONY STOCKUS, SOMERSET COUNTY SANITARY DISTRICT",Somerset,38A,1,Y,2,PUBLIC,Small,1,,10/01/2024,06/30/2024,"$8,279,700",$0,1,,,,09/01/2023,SOURCE,,MD0190002,,,"8,279,700","8,249,700"
38,70,MIDLAND GILMORE RAW WATER STORAGE TANK,DW0005,4500,DAM IS RATED UNSAFE BY MDE DAM SAFETY,"DECOMMISSION MIDLAND GILMORE RESERVOIR, RESTORE ELK LICK RUN STREAM, CONSTRUCT 6-MILLION GAL RAW WATER TANK","TYLER RAYNER, TOWN OF LONACONING",Allegany,01A,6,Y,2,PUBLIC,Small,1,,10/01/2024,10/31/2026,"$11,281,500",$0,1,,,,08/01/2023,STORAGE,Y,MD0010018,,,"11,281,562","11,281,562"
39,70,MYSTIC HARBOUR WATER PLANT & BUILDING REHAB,DW0109,8458,"PLANT OVER 50 YEARS OLD WITH OUTDATED CONTROLS, NO AUTOMATION","REHAB BOTH WTP EQUIPMENT AND BUILDING TO IMPROVE OPERATIONS, CONDITIONS, & RELIABILITY","DALLAS BAKER JR., WORCESTER COUNTY",Worcester,38C,1,Y,2,PUBLIC,Small,0,,11/01/2024,11/30/2025,"$2,160,400",$0,1,,,,06/01/2023,OTHER,,MD0230011,,,"2,160,450","2,148,850"
40,70,COMMERCE WATER TREATMENT PLANT,DW0083,20000,GLEBE WTP AT END OF USEFUL LIFE,ABANDON GLEBE WTP. MOVE TREATMENT TO NEW COMMERCE WTP,"DOUG ABBOTT, EASTON UTILITIES",Talbot,37B,1,Y,Y,PUBLIC,Large,1,,06/01/2024,06/30/2026,"$12,025,000","$12,025,000",1,Y,Y,E,04/01/2021,TREATMENT,,MD0200003,,,"12,025,000","12,025,000"
