RANKING,SYSTEM,COUNTY,PROJECT.NAME,PROJECT.DESCRIPTION.x,IJDC..NUMBER,X1..PERCENT..MHI,X3400.CURRENT,X3400.PROPOSED,AFFORD..ABILITY,DISADVAN...TAGED,DWTRF..TERMS.x,NEW.POPU...LATION,POINTS,HEALTH,COMPLIANCE,AFFORD..ABILITY.1,DWTRF..FUNDING..REQUESTED,TOTAL.COST,DWTRF.Eligible..Funding.Type,BYPASS.RATIONALE,PROJECT.DESCRIPTION.y,DWTRF..TERMS.y,POPULATION,ESTIMATED.DATE..OF..CONSTRUCTION,GREEN..PROJECT..DESIGNATION,GREEN..PROJECT..RESERVE,DWTRF..ASSISITANCE..FROM.BASE..GRANT,DWTRF..PRINCIPAL..FORGIVENESS..FROM.BASE..GRANT,DWTRF..ASSISITANCE..FROM..SUPPLEMENTAL..GRANT,DWTRF..PRINCIPAL..FORGIVENESS..FROM..SUPPLEMENTAL..GRANT,DWTRF..PRINCIPAL..FORGIVENESS..FROM..EMERGING..CONT..GRANT,DWTRF..ASSISITANCE..FROM.LSLR..GRANT,DWTRF..PRINCIPAL..FORGIVENESS..FROM.LSLR..GRANT,TOTAL.DWTRF..ASSISTANCE,TOTAL..PROJECT..COST
114,Mingo County PSD,Wyoming,North Spring-Western Wyoming  Ph 3,"Water extension project to serve approx. 102 residences and businesses in the North Spring/Little Cub branch area of western Wyoming County. Project would be supplied by the 150 gpm booster pump station and 400,000 gallon water storage tank constructed as part of the Hanover Ph 1 project.",TBD,$35.14 ,$42.40 ,TBD,1.51,Yes,"1%, 0.25%  Admin, 30  years, Principal  Forgiveness","6,324",TBD,TBD,TBD,20,"$4,100,000 ","$4,100,000 ",DWSRF Base  Program/Supplement al Funding,Project design has not  started and is not ready  for construction.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
115,Mingo County PSD,Wyoming,Hanover-Western Wyoming Ph 1,"Water extension project to serve approx. 214 residences and businesses, the Huff Consolidated Middle School and the US Army Corps facility western Wyoming County. Project would require a 150 gpm booster pump station and 400,000 gallon water storage tank.",TBD,$35.14 ,$42.40 ,TBD,1.51,Yes,"1%, 0.25%  Admin, 30  years, Principal  Forgiveness","6,324",TBD,TBD,TBD,20,"$6,800,000 ","$7,800,000 ",DWSRF Base  Program/Supplement al Funding,Project design has not  started and is not ready  for construction.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
116,Mingo County PSD,Wyoming,Little Huff Creek-Western  Wyoming Ph 2,"Water extension project to serve approx. 223 residences and businesses in the Little Huff Creek area of western Wyoming County. Project would be supplied by the 150 gpm booster pump station and 400,000 gallon water storage tank constructed as part of the Hanover Ph 1 project.",TBD,$35.14 ,$42.40 ,TBD,1.51,Yes,"1%, 0.25%  Admin, 30  years, Principal  Forgiveness","6,324",TBD,TBD,TBD,20,"$5,500,000 ","$5,500,000 ",DWSRF Base  Program/Supplement al Funding,Project design has not  started and is not ready  for construction.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
117,"Grafton, City of",Taylor,Water System Improvements,This project will replace aging and failing water lines throughout the City. The project also proposes to replace the existing underground water storage tank with an above ground water storage tank.,TBD,$36.29 ,$25.77 ,TBD,0.89,TBD,TBD,"6,577",TBD,TBD,TBD,5,"$2,000,000 ","$4,000,000 ",DWSRF Base  Program/Supplement al Funding,Project design has not  started and is not ready  for construction.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
118,Kingwood Water Works,Preston,Ph II Water System Improvements,Line replacement /upgrades and improvements to the distribution system as well as various upgrades to the WTP such as raw water intake improvements and clarifier modifications.,2022W-2078,$46.76 ,$40.70 ,TBD,1.09,TBD,TBD,"6,656",TBD,TBD,TBD,TBD,"$4,600,000 ","$4,600,000 ",DWSRF Base  Program/Supplement al Funding,Project design has not  started and is not ready  for construction.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
119,Kingwood Water Works,Preston,Vista View Water Line Extension,"Water line extension project to serve the Vista View Community along CR 52 and CR 52/3. This project includes approx. 7 miles of 6 through 2 inchwater lines, one booster station, two pressure reducing stations, and associated appurtunances.",TBD,$46.76 ,$40.70 ,TBD,1.09,TBD,TBD,"6,656",TBD,TBD,TBD,10,"$4,300,000 ","$4,300,000 ",DWSRF Base  Program/Supplement al Funding,Project design has not  started and is not ready  for construction.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
120,Frankfort PSD,Mineral,Water System Rehabilitation  Project,This project consists of various rehabilitations to the water system.,TBD,$33.11 ,$38.24 ,TBD,1.44,Yes,"1%, 0.25%  Admin, 30  years, Principal  Forgiveness","6,747",TBD,TBD,TBD,10,"$466,690 ","$736,000 ",DWSRF Base  Program/Supplement al Funding,Project design has not  started and is not ready  for construction.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
121,Raleigh County PSD,Raleigh,Storage and Distribution Upgrade,"This project includes approx. 6 miles of various size water line replacement, approx. 4 miles of various size new water line installation, repainting 6 water storage tanks, replacing 2 existing water storage tanks and appurtenances.",TBD,$42.74 ,$33.08 ,TBD,0.97,TBD,TBD,"7,180",TBD,TBD,TBD,5,"$11,000,000 ","$11,000,000 ",DWSRF Base  Program/Supplement al Funding,Project design has not  started and is not ready  for construction.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
122,Preston County PSD No. 4,Preston,WTP Expansion,"This project will add an additional 1.5 MGD of capacity to the exisitng WTP, drill and develop additional raw water source wells, and add storage tanks.",TBD,$46.94 ,$29.24 ,TBD,0.78,TBD,TBD,"8,721",TBD,TBD,TBD,5,"$10,000,000 ","$15,000,000 ",DWSRF Base  Program/Supplement al Funding,Project design has not  started and is not ready  for construction.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
123,Logan County PSD,Logan,Justice Addition-Mitchell Heights  Water Project,This project will extend water service to approx. 380 customers in the communities of Justice Addition and Mitchell Heights in Logan County. Project includes water lines and a booster station.,TBD,$38.29 ,$41.05 ,TBD,1.34,Yes,"1%, 0.25%  Admin, 30  years, Principal  Forgiveness","16,949",TBD,TBD,TBD,15,"$3,000,000 ","$4,000,000 ",DWSRF Base  Program/Supplement al Funding,Project design has not  started and is not ready  for construction.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
124,Logan County PSD,Logan,Big Ugly Water Project-PH 1,"This project will extend public water service to approx. 65 customers in the Big Ugly Rd. and Ridgeview areas in Boone and Logan counties. Project will include water lines, 2 booster stations and 2 storage tanks.",TBD,$38.29 ,$41.05 ,TBD,1.34,Yes,"1%, 0.25%  Admin, 30  years, Principal  Forgiveness","16,949",TBD,TBD,TBD,15,"$2,500,000 ","$3,300,000 ",DWSRF Base  Program/Supplement al Funding,Project design has not  started and is not ready  for construction.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
125,Logan County PSD,Logan,Island Creek Water Project,"This project will extend public water service to approx. 1,090 customers in multiple communities along Island Creek in Logan County. Project will include water lines, hydrants, valves, and other necessary appurtenances.",TBD,$38.29 ,$41.05 ,TBD,1.34,Yes,"1%, 0.25%  Admin, 30  years, Principal  Forgiveness","16,949",TBD,TBD,TBD,15,"$14,000,000 ","$17,500,000 ",DWSRF Base  Program/Supplement al Funding,Project design has not  started and is not ready  for construction.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
126,Logan County PSD,Logan,Stollings/McConnell Water  Project,This project will extend public water service to approx. 135 customers in the communities of Stollings and McConnell in Logan County. The project includes water lines and a booster station.,TBD,$38.29 ,$41.05 ,TBD,1.34,Yes,"1%, 0.25%  Admin, 30  years, Principal  Forgiveness","16,949",TBD,TBD,TBD,15,"$2,000,000 ","$3,400,000 ",DWSRF Base  Program/Supplement al Funding,Project design has not  started and is not ready  for construction.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
127,Logan County PSD,Logan,Northern Regional WTP Upgrade  Project,"This project will upgrade the WTP to increase capacity from 2,800 gpm to 5,600 gpm and replace several worn components. Project also includes a 800,000 storage tank.",2021W-2056,$38.29 ,$41.05 ,TBD,1.34,Yes,"1%, 0.25%  Admin, 30  years, Principal  Forgiveness","16,949",TBD,TBD,TBD,15,"$7,000,000 ","$8,700,000 ",DWSRF Base  Program/Supplement al Funding,Project design has not  started and is not ready  for construction.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
128,Clarksburg Water Board,Harrison,Main Line Replacement,Project to replace selected water mains throughout the distribution system.,2021W-2054,$38.58 ,$26.28 ,TBD,TBD,Yes,TBD,"17,686",TBD,TBD,TBD,5,"$24,120,000 ","$24,120,000 ",DWSRF Base  Program/Supplement al Funding,Project design has not  started and is not ready  for construction.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
129,Boone County PSD,Boone,Rock Creek Water Line Ext. Phase  I,"This project will extend water service to the Rock Creek Development Park site and surrounding areas. The project will consist of the installation of approximately 14,500 LF of 8"" water line, one (1) booster station and a 250,000-gallon water storage tank with mixing and telemetry.",2020W-1868,$41.62 ,$57.94 ,$57.94 ,1.74,Yes,"1%, 0.25%  Admin, 30  years, Principal  Forgiveness","20,000",TBD,TBD,0,TBD,"$600,000 ","$3,400,000 ",DWSRF Base  Program/Supplement al Funding,Project design has not  started and is not ready  for construction.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
130,Berkeley County PSD,Berkeley,River WTP Expansion,This project will expand capcaity at the WTP from 6 MGD to 10 MGD. The plant is quickly appraching the capacity of the current WTP.,TBD,$57.54 ,$33.29 ,TBD,0.72,No,"2.5%, 0.25%  Admin, 30 years","27,335",TBD,TBD,TBD,5,"$20,000,000 ","$20,000,000 ",DWSRF Base  Program/Supplement al Funding,Requesting earmark,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
131,Berkeley County PSD,Berkeley,Pikeside Water Main Replacement,"This project will replace approx. 20,000 lf of water mains. The water mains are undersized and in poor condidition.",TBD,$57.54 ,$33.29 ,TBD,0.72,No,"2.5%, 0.25%  Admin, 30 years","27,335",TBD,TBD,TBD,5,"$7,500,000 ","$7,500,000 ",DWSRF Base  Program/Supplement al Funding,Requesting earmark,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
132,Berkeley County PSD,Berkeley,Bunker Hill WTP,"This project will construct a new WTP with an increased capacity. The District is experiencing significant growth and many of the facilities are undersized, antiquated and unable to support the continued growth in the area.",TBD,$57.54 ,$33.29 ,TBD,0.72,No,"2.5%, 0.25%  Admin, 30 years","34,586",TBD,TBD,TBD,5,"$35,000,000 ","$35,000,000 ",DWSRF Base  Program/Supplement al Funding,Requesting earmark,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
133,Berkeley County PSD,Berkeley,Bunker Hill Water Main Replacement,"This project will upsize and replace water mains in the immediate area of the new Bunker Hill WTP. The District is experiencing significant growth and many of the facilities are undersized, antiquated and unable to support the continued growth in the area.",TBD,$57.54 ,$33.29 ,TBD,0.72,No,"2.5%, 0.25%  Admin, 30 years","34,586",TBD,TBD,TBD,5,"$3,500,000 ","$3,500,000 ",DWSRF Base  Program/Supplement al Funding,Requesting earmark,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
134,Berkeley County PSD,Berkeley,Industrial Zone Storage Upgrades,This project will construct an new storage tanks and water mains in the industrial zone area. The District is providing water service to many industrial and commercial companies with little to no redundancy in the storage tanks or water mains.,TBD,$57.54 ,$33.29 ,TBD,0.72,No,"2.5%, 0.25%  Admin, 30 years","34,586",TBD,TBD,TBD,5,"$9,500,000 ","$9,500,000 ",DWSRF Base  Program/Supplement al Funding,Requesting earmark,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
135,Mercer County PSD,Mercer,Pocahontas Water Line Replacement,Project includes replacement and upgrade of existing water lines to significantly reduce water loss and allow for the installation of fire hydrants in the area.,TBD,$37.70 ,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,"$4,059,500 ","$8,119,000 ",DWSRF Base  Program/Supplement al Funding,Project design has not  started and is not ready  for construction.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
136,McDowell County PSD,McDowell,Elkhorn Ph IV,This is the final phase of the Elkhorn Creek water projects. This water project will provide public water service to approx. 375 customers from Keystone to Welch and remove antiquated and unreliable water systems along the route.,TBD,$28.83 ,$53.72 ,TBD,2.33,Yes,"0.5%, Admin.  Waived, 30 yrs.,  Principal  Forgiveness",TBD,TBD,TBD,TBD,30,"$5,610,000 ","$5,610,000 ",DWSRF Base  Program/Supplement al Funding,Project design has not  started and is not ready  for construction.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
137,McDowell County PSD,McDowell,Jolo Ph V,"This is the final phase of the Jolo water projects providing water service from the Town of Bradshaw the Virginia state line. This water project will provide public water service to 119 potential customers throughout four areas known as Rockridge, Panther Creek, Barker Ridge and Lex.",TBD,$28.83 ,TBD,$53.72 ,2.33,Yes,"0.5%, Admin.  Waived, 30 yrs.,  Principal  Forgiveness",TBD,TBD,TBD,TBD,30,"$4,253,000 ","$4,253,000 ",DWSRF Base  Program/Supplement al Funding,Project design has not  started and is not ready  for construction.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
138,McDowell County PSD,McDowell,Anawalt Water System Upgrade,"This project will replace antiquated and problematic water storage and distribution systems throughout the communities of Anawalt, Leckie, and Jenkinjones. The project will provide public water service to approx. 423 customers.",TBD,$28.83 ,TBD,$53.72 ,2.33,Yes,"0.5%, Admin.  Waived, 30 yrs.,  Principal  Forgiveness",TBD,TBD,TBD,TBD,30,"$11,640,000 ","$11,640,000 ",DWSRF Base  Program/Supplement al Funding,Project design has not  started and is not ready  for construction.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
139,McDowell County PSD,McDowell,Bridge St. Stream Crossing Project,Proposed project to replace problematic water line stream crossing to provide reliable water and fire protection service to three residential and one commercial customer in the community of Keystone.,TBD,$28.83 ,TBD,$53.72 ,2.33,Yes,"0.5%, Admin.  Waived, 30 yrs.,  Principal",TBD,TBD,TBD,TBD,30,"$255,000 ","$255,000 ",DWSRF Base  Program/Supplement al Funding,Project design has not  started and is not ready  for construction.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
140,"Triadelphia, Town of",Ohio,Water System Improvements,This project will include various improvemtns to the WTP and the distribution sysytem.,TBD,$30.27 ,$45.69 ,TBD,1.88,Yes,"1%, 0.25%  Admin, 30  years, Principal","1,215",TBD,TBD,TBD,25,"$4,010,000 ","$4,510,000 ",DWSRF Base  Program/Supplement al Funding,Project design has not  started and is not ready  for construction.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Parkersburg Utility Board,Wood,WTP PFAS Upgrades,�This project will upgrade the water treatment plant to remove PFAS from the source,TBD,$33.21�,$32.26�,TBD,1.21,Yes,"1%, 0.25%� Admin, 30� years, Principal Forgiveness","38,189",TBD,TBD,TBD,10,"$12,000,000�",##########,DWSRF Emerging Contaminant Funding,Project will be funded.,This project will upgrade the water treatment plant to remove PFAS from the source water.,"1%, 0.25% Admin, 30 years, Principal Forgiveness","38,189",23-Jul,NA,$0 ,NA,NA,NA,NA,"$7,403,900 ",NA,NA,"$7,403,900 ","$12,000,000 "
2,"Glen Dale, City of",Marshall,PFAS Filtration Upgrade,Project includes installation of granulated activated carbon filtration with all necessary piping and equipment.,TBD,$54.44�,$28.80�,TBD,0.66,No,TBD,"2,495",TBD,TBD,TBD,5,"$2,500,000�","$2,500,000�",DWSRF Emerging Contaminant Funding,Project design has not� started and is not ready� for construction.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Clarksburg Water Board,Harrison,Lead Service Line Replacement,Project to replace lead service lines throughout the distribution system.,2021W-2054,$38.58 ,$26.28 ,TBD,TBD,Yes,"0%, Admin.  Waived, 30 yrs.,  Principal  Forgiveness","17,686",75,50,20,5,"$27,025,000 ","$27,025,000 ",Lead Service Line  Replacement  Funding,Project will be funded.,Project to replace lead service lines throughout the distribution system.,"0%, Admin.  Waived, 30 yrs.,  Principal  Forgiveness","17,686",23-Jul,N/A,$0 ,,,,,,"$20,757,017 ","$10,276,500 ","$20,757,017 ","$27,025,000 "
2,"Davy, Town of",McDowell,Lead Service Line Inventory,The project consists of the development of a lead service line inventory and GIS compatible surveying and mapping.,TBD,$24.65 ,$40.80 ,$40.80 ,2.07,Yes,Principal  Forgiveness,552,70,30,10,30,"$500,000 ","$500,000 ",Lead Service Line  Replacement  Funding,Project will be funded.,The project consists of the development of a lead service line inventory and GIS compatible surveying and mapping.,Principal  Forgiveness,552,23-Mar,N/A,$0 ,,,,,,"$500,000 ","$500,000 ","$500,000 ","$500,000 "
3,"Richwood, City of",Nicholas,Lead Service Line Inventory,The project includes the engineering services necessary to conduct an inventory of lead services and prepare engineering plans for the removal of lead service lines and joints in the City's water distribution system.,TBD,$28.37 ,$45.47 ,TBD,2,Yes,Principal  Forgiveness,"1,095",70,30,10,30,"$500,000 ","$500,000 ",Lead Service Line  Replacement  Funding,Project will be funded.,The project includes the engineering services necessary to conduct an inventory of lead services and prepare engineering plans for the removal of lead service lines and joints in the City's water distribution system.,Principal  Forgiveness,"1,095",23-Mar,N/A,$0 ,,,,,,"$500,000 ","$500,000 ","$500,000 ","$500,000 "
4,"Alderson, Town of",Greenbrier,Lead Service Line Replacement,Replace lead service lines throughout the distribution system.,2019W-1833,$25.68 ,$38.58 ,$58.49 ,2.85,Yes,Principal  Forgiveness,"2,458",70,30,10,30,"$615,000 ","$615,000 ",Lead Service Line  Replacement  Funding,Project will be funded.,Replace lead service lines throughout the distribution system.,Principal  Forgiveness,"2,458",,N/A,$0 ,,,,,,"$615,000 ","$615,000 ","$615,000 ","$615,000 "
5,Pineville Municipal Waterworks,Wyoming,Lead Service Line Inventory,"The project includes the engineering services necessary to conduct an inventory of lead services and prepare engineering plans for the removal of lead service lines in the systems water distribution system,",TBD,$35.14 ,$45.00 ,$63.46 ,2.26,Yes,Principal  Forgiveness,"2,945",70,30,10,30,"$250,000 ","$250,000 ",Lead Service Line  Replacement  Funding,Project will be funded.,"The project includes the engineering services necessary to conduct an inventory of lead services and prepare engineering plans for the removal of lead service lines in the systems water distribution system,",Principal  Forgiveness,"2,945",23-Mar,N/A,$0 ,,,,,,"$250,000 ","$250,000 ","$250,000 ","$250,000 "
6,"Rainelle, Town of",Greenbrier,Lead Service Line Inventory,The project consists of the development of a lead service line inventory and GIS compatible surveying and mapping.,TBD,$26.04 ,$29.75 ,TBD,1.43,Yes,Principal  Forgiveness,"1,381",55,30,10,15,"$500,000 ","$500,000 ",Lead Service Line  Replacement  Funding,Project will be funded.,The project consists of the development of a lead service line inventory and GIS compatible surveying and mapping.,Principal  Forgiveness,"1,381",23-Mar,N/A,$0 ,,,,,,"$500,000 ","$500,000 ","$500,000 ","$500,000 "
7,"Gary, City of",McDowell,Lead Service Line Inventory,This project includes the engineering services necessary to conduct an inventory of lead services and prepare engineering plans for the removal of lead service lines in the City's distribution system.,TBD,$32.98 ,$33.15 ,$33.15 ,1.26,Yes,Principal  Forgiveness,"1,633",55,30,10,15,"$500,000 ","$500,000 ",Lead Service Line  Replacement  Funding,Project will be funded.,This project includes the engineering services necessary to conduct an inventory of lead services and prepare engineering plans for the removal of lead service lines in the City's distribution system.,Principal  Forgiveness,"1,633",23-Mar,N/A,$0 ,,,,,,"$500,000 ","$500,000 ","$500,000 ","$500,000 "
8,Oakland PSD,Hancock,Lead Service Line Replacement,This project includes development of a lead service line inventory and replacing lead service lines throughout the distribution system.,TBD,$41.62 ,$47.02 ,TBD,1.41,Yes,Principal  Forgiveness,"1,846",55,30,10,15,TBD,TBD,Lead Service Line  Replacement  Funding,Project will be funded.,This project includes development of a lead service line inventory and replacing lead service lines throughout the distribution system.,Principal  Forgiveness,"1,846",23-Mar,N/A,$0 ,,,,,,"$250,000 ","$250,000 ","$250,000 ","$250,000 "
9,"Welch, City of",McDowell,Lead Service Line Inventory,The project includes the engineering services necessary to conduct an inventory of lead services and prepare engineering plans for the removal of lead service lines and joints in the City's water distribution system.,TBD,$29.28 ,$33.55 ,TBD,1.43,Yes,Principal  Forgiveness,"2,907",55,30,10,15,"$500,000 ","$500,000 ",Lead Service Line  Replacement  Funding,Project will be funded.,The project includes the engineering services necessary to conduct an inventory of lead services and prepare engineering plans for the removal of lead service lines and joints in the City's water distribution system.,Principal  Forgiveness,"2,907",23-Mar,N/A,$0 ,,,,,,"$500,000 ","$500,000 ","$500,000 ","$500,000 "
10,Mount Hope Water Assoc.,Upshur,Lead Service Line Inventory,Project to determine the service line material used from the meter to the customers structure.,TBD,$42.01 ,$40.44 ,TBD,1.2,No,TBD,"2,870",50,30,10,10,"$200,000 ","$200,000 ",Lead Service Line  Replacement  Funding,TBD,Project to determine the service line material used from the meter to the customers structure.,TBD,"2,870",23-Mar,N/A,$0 ,,,,,,"$200,000 ",,"$200,000 ","$200,000 "
11,"Athens, Town of",Mercer,Lead Service Line Inventory,Project to perform an inventory of lead service line in the system. Included in this inventory will also be a proposed plan for replacement of the lines and modified sampling locations according to what is discovered.,TBD,$34.94 ,$28.80 ,TBD,1.03,TBD,TBD,4802,50,30,10,10,"$25,000 ","$25,000 ",Lead Service Line  Replacement  Funding,TBD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,Red Sulphur PSD,Monroe,Service Line Replacement Project,"The project consists of the development of a lead service line inventory and GIS compatible surveying and mapping and the anticipated replacement of approx. 5,000 lf of lead service line replacement from the main to the home.",TBD,$34.46 ,$30.69 ,TBD,1,TBD,"0%, Admin.  Waived, 30 yrs.,","5,352",50,30,10,10,"$2,277,600 ","$2,277,600 ",Lead Service Line  Replacement  Funding,Project design has not  started and is not ready  for construction.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,"Summersville, City of",Nicholas,Lead Service Line Inventory,This project includes the engineering services necessary to conduct an inventory of lead services and prepare engineering plans for the removal of lead service lines in the City's distribution system.,TBD,$36.38 ,$30.56 ,TBD,1.05,No,TBD,"5,574",50,30,10,10,"$500,000 ","$500,000 ",Lead Service Line  Replacement  Funding,TBD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,Kingwood Water Works,Preston,Lead Service Line Replacement,Project includes removal and replacement of existing lead service lines in the downtown system.,TBD,$46.76 ,$40.70 ,TBD,1.09,TBD,TBD,"6,656",50,30,10,10,"$500,000 ","$500,000 ",Lead Service Line  Replacement  Funding,TBD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,"McMechen, City of",Marshall,Lead Service Line Inventory,Project to inventory the service lines throughout the City. Project will identify the lead pipes in order to determine the scope of a replacment project.,TBD,$42.71 ,$32.32 ,TBD,0.95,No,TBD,"2,212",45,30,10,5,TBD,TBD,Lead Service Line  Replacement  Funding,TBD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Parkersburg Utility Board,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,This project will upgrade the water treatment plant to remove PFAS from the source water.,"1%, 0.25%  Admin, 30 years,  Principal  Forgiveness","38,189",23-Jul,N/A,$0 ,,,,,"$7,403,900 ",,,"$7,403,900 ","$12,000,000 "
Total,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,$0 ,"$6,237,120 ","$1,876,253 ","$17,597,868 ","$8,816,080 ","$7,403,900 ","$24,572,017 ","$13,891,500 ","$55,810,905 ","$124,615,857 "
