"SELFScore",Municipality,"ProjectNumber",Project Description,"EstimatedProject Cost",Region,CME
94,RIB MOUNTAIN SD,5590-02,Construct new treatment faciltiy for Fe & Mn Removal,"$5,640,000.00",WC,Andruczyk
94,"WAUTOMA, CITY OF",4931-02,Replace WMs along S. Waupaca St. (Division to River),"$757,556.00",NE,Hannes
94,"WAUTOMA, CITY OF",4931-03,Replace WMs along S. Waupaca St. (River to Main,"$922,291.00",NE,Hannes
92,"CASCADE, VILLAGE OF",5281-03,New Well #2 and Wellhouse,"$1,700,000.00",SE,Fuja
92,"CASCADE, VILLAGE OF",5281-02,Well 1 Upgrade/Treatment,"$1,700,000.00",SE,Fuja
92,"CLAYTON, VILLAGE OF",5631-01,Treat Maganese at Well #3,"$1,500,000.00",NO,Cameron
92,"CLAYTON, VILLAGE OF",5631-01,Treat Maganese at Well #3,"$1,500,000.00",NO,Cameron
92,"MERRIMAC, VILLAGE OF",4849-03,Construct Well #2,"$2,000,000.00",SC,Zettl
92,"PRINCETON, CITY OF",5427-04,Add looping from STH 23 to Farmer St,"$2,500,000.00",NE,Hannes
92,"STETSONVILLE, VILLAGE OF",5326-04,Replace standby generator,"$225,000.00",NO,Andruczyk
91,"BIRCHWOOD, VILLAGE OF",5478-02,"Rehab/Upgrade Well/House 1, SCADA, Pumps, Controls","$250,000.00",NO,Andruczyk
91,KIELER SD #1,5067-03,Replace WMs along CTH HHH,"$400,000.00",SC,Zettl
90,"ROCK SPRINGS, VILLAGE OF",5428-01,"Construct Well #2 Incl. Well House, Treatment, Transmission","$1,500,000.00",SC,Zettl
90,"ROCK SPRINGS, VILLAGE OF",5428-03,Rehab Water Tower,"$1,500,000.00",SC,Zettl
90,"ROCK SPRINGS, VILLAGE OF",5428-04,Rehab Well #1,"$1,500,000.00",SC,Zettl
89,"PORT EDWARDS, VILLAGE OF",5588-01,Replace WMs & Services Along 2nd St,"$3,114,540.00",WC,Cameron
89,"PORT EDWARDS, VILLAGE OF",5588-04,Replace WMs and Services Along Wisconsin River Dr,"$599,720.00",WC,Cameron
87,"GREENWOOD, CITY OF",5246-06,River Crossing Distribution,"$383,000.00",WC,Cameron
87,"GREENWOOD, CITY OF",5246-05,River Crossing Transmission,"$383,000.00",WC,Cameron
87,"GRESHAM, VILLAGE OF",5313-04,Replace WM on CTH A and Fischer St.,"$700,000.00",NE,Hannes
86,"ALTOONA, CITY OF",5209-05,"Construct well #8, wellhouse, emergency power & connect main","$1,700,000.00",WC,Cameron
86,"ARENA, VILLAGE OF",4757-02,"Construct Well/House #2, Distr,Sewer,Bkup Power, Land,SCADA","$1,970,000.00",SC,Zettl
86,"ARENA, VILLAGE OF",4757-04,Rehab/Upgrade Well #1,"$1,970,000.00",SC,Zettl
86,"BARNEVELD, VILLAGE OF",4763-02,"Construct Well 3, Wellhouse, SCADA","$2,250,000.00",SC,Zettl
86,"ELEVA, VILLAGE OF",5391-02,"Construct Well #2, Well House, Treatment, Connecting Mains","$28,000,000.00",WC,Cameron
86,"MONTELLO, CITY OF",5528-07,Rehab Well #1,"$1,500,000.00",NE,Hannes
86,"MONTELLO, CITY OF",5528-08,Rehab Well #2,"$1,500,000.00",NE,Hannes
86,"NEKOOSA, CITY OF",4858-14,Replace WM - Glendale Ln from S Section St to Point Basse Av,"$546,700.00",WC,Cameron
86,"NEKOOSA, CITY OF",4858-15,Replace WM on Elmwood Ln from Fairview to Glendale Ln,"$1,511,400.00",WC,Cameron
86,"NEKOOSA, CITY OF",4858-12,Replace WM on Elmwood Ln from S Section St to Point Basse Av,"$478,500.00",WC,Cameron
86,"VESPER, VILLAGE OF",5549-03,"Replace source water main, treatment upgrades","$766,000.00",WC,Cameron
83,"ANTIGO, CITY OF",4754-11,Rehabilitate 0.2MG Tower,"$2,300,000.00",NO,Andruczyk
83,"ANTIGO, CITY OF",4754-13,Repair Hatches at 0.5MG Reservoir,"$2,300,000.00",NO,Andruczyk
