Rank,Points,Project Number,Project Title,Applicant Name,County,Beneficial Population,Ownership,System Size,Disadvantaged,Project Type,Funding Category,Green Cost ($),Construction Start,Construction End,Design Start,Water/Sewer,PFA Code,CD Code,Audit,Plan,Compliance,Notes,PWSID,PFAS/EC,LSL,Total Cost ($),MDE Requested Funding ($),matching_id,Project Description
31,70,DW0078,Fort Washington Road Water Main Replacement,Washington Suburban Sanitary Commission,Prince George's,335,PUBLIC,Large,Y,Transmission & Distribution,,,08/01/2026,08/30/2028,12/01/2021,Y,Y,2,Y,Y,N,,MD0150005,,,"5,960,324","5,960,324",DW0078,"PROBLEM: AGING CAST IRON WATER MAINS ARE DETERIORATING; FREQUENT BREAKS AND LEAKS; PUBLIC HEALTH CONCERN PROJECT: CONSTRUCT REPLACEMENT OF APPROX 2 MILES OF 4""-12"" WATER MAINS"
32,70,DW0049,Chesapeake Heights Distribution Replacement Project,Board and Commissioners of Calvert County,Calvert,705,PUBLIC,Large,N,Transmission & Distribution,,,04/01/2026,07/31/2027,03/01/2021,Y,2,1,N,N,N,,MD0040018,,,"6,178,533","6,000,000",DW0049,"PROBLEM: SYSTEM EXPERIENCES MULTIPLE MAIN LINE BREAKS AND LEAKS IN 2"" GALVANIZED PIPE; SYSTEM SUSCEPTIBLE TO CONTAMINATION/BACKFLOW PROJECT: CONSTRUCT REPLACEMENT OF 27,000 LF W/4""-8"" C-900 IN TWO PHASES: PH 1 = EAST SIDE, PH 2 = WEST SIDE"
33,70,DW0001,Annapolis Road Transmission Water Main Replacement Phase II,Washington Suburban Sanitary Commission,Prince George's,3840,PUBLIC,Large,N,Transmission & Distribution,,,09/01/2026,09/30/2028,11/01/2021,Y,Y,2,Y,Y,N,,MD0150005,,,"12,082,086","12,082,086",DW0001,"PROBLEM: AGING WATER MAIN INFRASTRUCTURE; FREQUENT BREAKS, LOW FLOW, & CORRODED PIPES IS A PUBLIC HEALTH CONCERN; EMERGENCY RESPONSE PROJECT: CONSTRUCT REPLACEMENT OF APPROX 2 MILES OF 4""-24"" WATER MAINS"
34,70,DW0085,Easton Utilities Water Treatment Plant,Easton Utilities Commission,Talbot,52500,PUBLIC,Large,Y,Treatment,,"$12,025,000",06/01/2026,06/30/2027,04/01/2021,Y,Y,1,Y,N,N,Green (G),MD0200003,,,"12,752,000","12,025,000",DW0085,PROBLEM: 30+ YEAR OLD WTP RISKS CRITICAL FAILURE & LACKS CAPACITY PROJECT: P/D/C-REPLACEMENT OF GLEBE WTP WITH CLIMATE-RESILIENT PLANT WITH REDUNDANCY; UPGRADING WELLS & SAND FILTERS
35,69,DW0038,PFAS Treatment at Winters Run Water Treatment Plant,Maryland American Water Company,Harford,15500,PRIVATE,Large,N,Treatment,PFAS/EC,,10/01/2026,12/31/2027,07/01/2025,Y,Y,1,N,N,N,,MD0120003,Y,,"15,100,000","15,100,000",DW0038,PROBLEM: CONCENTRATION OF CERTAIN PFAS/PFOA CHEMICALS EXCEED EPA'S MAXIMUM CONTAMINANT LEVELS IN TWO WELLS PROJECT: P/D/C-CONSTRUCT GAC ADSORPTION FILTERS FOR PFAS/PFOA FOR COMPLIANCE WITH EPA STANDARDS
36,65,DW0066,Town of Grantsville Water System Improvements,Town of Grantsville,Garrett,1000,PUBLIC,Small,Y,Source,,,11/01/2026,11/30/2027,05/01/2025,Y,Y,2,N,N,N,,MD0110005,,,"13,924,000","2,089,000",DW0066,PROBLEM: WATER SUPPLY INSUFFICIENT TO MEET DEMAND AND ESTIMATED FUTURE NEEDS; AGING GRANTSVILLE WATER SYSTEM IS FAILING PROJECT: P/D/C-CONSOLIDATE AGING GRANTSVILLE WTP AND GREEN WTP INTO A SINGLE WTP AT GREEN SITE; DEMOLISH GRANTSVILLE PLANT
37,65,DW0055,Lead Service Line Inventory - Town of Perryville,Town of Perryville,Cecil,6838,PUBLIC,Small,Y,Transmission & Distribution,LSL,,11/01/2025,12/31/2026,03/01/2025,Y,Y,1,N,N,N,,MD0070018,,Y,"1,662,000","1,640,000",DW0055,"PROBLEM: LEAD SERVICE LINE INVENTORY NEEDED FOR THE REMAINING 629 SERVICE LINES OF UNKNOWN MATERIAL PROJECT: D/C-UNCOVER, INSPECT, IDENTIFY AND REPORT THE MATERIAL FOR 629 3/4"" LINES AVERAGING 75 LF EACH"
38,65,DW0044,WC-1199 Ashburton Pumping Station Rehabilitation,Mayor and City Council of Baltimore,Baltimore City,1800000,PUBLIC,Large,Y,Transmission & Distribution,,,09/01/2025,09/30/2029,07/01/2014,Y,Y,1,Y,Y,Y,,MD0300002,,,"86,972,516","27,422,000",DW0044,PROBLEM: CONTINUED RELIABLE OPERATION OF AGING PUMPING STATION IN SUPPORT OF FINISHED WATER STORAGE PROJECT: CONSTRUCT REHAB OF PUMPING STATION TO SUPPORT WC-1211 UNDER ADMINISTRATIVE ORDER
39,65,DW0100,WC-1199 Ashburton Pumping Station Rehabilitation,Baltimore County,Baltimore County,1800000,PUBLIC,Large,Y,Transmission & Distribution,,,09/01/2025,09/30/2029,07/01/2014,Y,Y,1,Y,Y,Y,Joint project w/ Baltimore City,MD0300002,,,0,"39,137,632",DW0100,PROBLEM: CONTINUED RELIABLE OPERATION OF AGING PUMPING STATION IN SUPPORT OF FINISHED WATER STORAGE PROJECT: CONSTRUCT REHAB OF PUMPING STATION TO SUPPORT WC-1211 UNDER ADMINISTRATIVE ORDER
40,60,DW0063,Gorman Water Source Project,Garrett County Sanitary District,Garrett,368,PUBLIC,Small,Y,Source,,,02/01/2026,06/30/2026,03/01/2025,Y,2,1,N,N,N,,MD0110012,,,"1,574,286","1,360,000",DW0063,"PROBLEM: ONE OF THE TWO WELLS IN GORMAN COMMUNITY COLLAPSED IN 2021, CAUSING INSUFFICIENT WATER SUPPLY PROJECT: D/C-INSTALL THREE TEST WELLS AND DEVELOP UP TO TWO OF THEM WITH GOAL TO ACHIEVE 100 GPM"
